Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
8700	0.6637	-nan	0.6637	0.662644	0.0214988	0	0.7362	-nan	0.7362	0.734868	0.0229065	0	0.6125	-nan	0.6125	0.617181	0.0350948	0
8800	0.6709	-nan	0.6709	0.668867	0.0238582	0	0.7298	-nan	0.7298	0.728237	0.0160144	0	0.627	-nan	0.627	0.620792	0.0287019	0
8900	0.6566	-nan	0.6566	0.664441	0.0208527	0	0.7244	-nan	0.7244	0.728823	0.0152954	0	0.6347	-nan	0.6347	0.634543	0.0250256	0
9000	0.6652	-nan	0.6652	0.665972	0.0238706	0	0.7207	-nan	0.7207	0.721462	0.0175113	0	0.6449	-nan	0.6449	0.638713	0.034082	0
9100	0.6657	-nan	0.6657	0.668405	0.0140811	0	0.7188	-nan	0.7188	0.71769	0.0218262	0	0.6412	-nan	0.6412	0.643255	0.0307512	0
9200	0.6697	-nan	0.6697	0.674522	0.0114131	0	0.6973	-nan	0.6973	0.704115	0.0269282	0	0.649	-nan	0.649	0.646591	0.0285992	0
9300	0.6666	-nan	0.6666	0.665094	0.0131427	0	0.6917	-nan	0.6917	0.697788	0.0251342	0	0.6649	-nan	0.6649	0.659298	0.0287119	0
9400	0.6703	-nan	0.6703	0.670784	0.0150836	0	0.7015	-nan	0.7015	0.700345	0.0208296	0	0.6678	-nan	0.6678	0.66509	0.0272833	0
9500	0.6826	-nan	0.6826	0.674543	0.0207667	0	0.7035	-nan	0.7035	0.695741	0.0235731	0	0.6539	-nan	0.6539	0.663684	0.0235827	0
9600	0.6704	-nan	0.6704	0.674967	0.015436	0	0.691	-nan	0.691	0.694325	0.0212735	0	0.6596	-nan	0.6596	0.664549	0.018105	0
9700	0.6751	-nan	0.6751	0.677114	0.0206647	0	0.6875	-nan	0.6875	0.682879	0.0218057	0	0.6628	-nan	0.6628	0.670692	0.0166374	0
9800	0.6871	-nan	0.6871	0.686816	0.0248506	0	0.6833	-nan	0.6833	0.68557	0.0238837	0	0.6708	-nan	0.6708	0.676855	0.0217835	0
9900	0.7039	-nan	0.7039	0.70003	0.0272565	0	0.6821	-nan	0.6821	0.677744	0.0188872	0	0.6709	-nan	0.6709	0.671997	0.0209685	0
10000	0.7078	-nan	0.7078	0.70695	0.0205502	0	0.667	-nan	0.667	0.674834	0.0159396	0	0.6739	-nan	0.6739	0.670402	0.0241279	0
10100	0.7088	-nan	0.7088	0.708797	0.0237959	0	0.6746	-nan	0.6746	0.670479	0.0237945	0	0.6627	-nan	0.6627	0.655919	0.0323421	0
10200	0.7213	-nan	0.7213	0.720305	0.0246753	0	0.6774	-nan	0.6774	0.678846	0.0299869	0	0.6683	-nan	0.6683	0.66423	0.0305794	0
10300	0.7192	-nan	0.7192	0.723853	0.0221551	0	0.6851	-nan	0.6851	0.684453	0.0397664	0	0.6584	-nan	0.6584	0.661712	0.028745	0
10400	0.7282	-nan	0.7282	0.730799	0.0270354	0	0.6961	-nan	0.6961	0.684705	0.0477312	0	0.6468	-nan	0.6468	0.653282	0.0245189	0
10500	0.7298	-nan	0.7298	0.731424	0.0192895	0	0.6753	-nan	0.6753	0.666841	0.0399132	0	0.6593	-nan	0.6593	0.65335	0.0234426	0
10600	0.7156	-nan	0.7156	0.720629	0.0242682	0	0.6819	-nan	0.6819	0.684119	0.0379058	0	0.648	-nan	0.648	0.655582	0.0241117	0
10700	0.7178	-nan	0.7178	0.712081	0.0247851	0	0.6843	-nan	0.6843	0.67998	0.0402603	0	0.6637	-nan	0.6637	0.657402	0.0282714	0
10800	0.7122	-nan	0.7122	0.709945	0.025648	0	0.6936	-nan	0.6936	0.693576	0.0394038	0	0.6527	-nan	0.6527	0.642086	0.0235403	0
10900	0.7034	-nan	0.7034	0.702106	0.0274373	0	0.6945	-nan	0.6945	0.691506	0.0392098	0	0.6369	-nan	0.6369	0.636136	0.0193352	0
11000	0.7053	-nan	0.7053	0.697335	0.0262692	0	0.702	-nan	0.702	0.702415	0.047957	0	0.6213	-nan	0.6213	0.627168	0.0239306	0
11100	0.6859	-nan	0.6859	0.692407	0.0262703	0	0.6864	-nan	0.6864	0.681627	0.0404241	0	0.6198	-nan	0.6198	0.62218	0.0201487	0
11200	0.7067	-nan	0.7067	0.704061	0.0372314	0	0.6923	-nan	0.6923	0.693449	0.0509883	0	0.6154	-nan	0.6154	0.618475	0.0151176	0
11300	0.6858	-nan	0.6858	0.681893	0.0290476	0	0.6981	-nan	0.6981	0.691171	0.0513447	0	0.6194	-nan	0.6194	0.626579	0.0132361	0
11400	0.692	-nan	0.692	0.692725	0.0362666	0	0.682	-nan	0.682	0.679091	0.0446576	0	0.6322	-nan	0.6322	0.629285	0.017653	0
