Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
6500	0.3292	-nan	0.3292	0.319253	0.0188233	0	0.3644	-nan	0.3644	0.360995	0.066774	0	0.3087	-nan	0.3087	0.307675	0.062175	0
6600	0.317	-nan	0.317	0.311424	0.0212459	0	0.3289	-nan	0.3289	0.321165	0.066194	0	0.3104	-nan	0.3104	0.314462	0.0707629	0
6700	0.315	-nan	0.315	0.31194	0.0208434	0	0.3243	-nan	0.3243	0.319732	0.0641327	0	0.323	-nan	0.323	0.326055	0.090178	0
6800	0.3127	-nan	0.3127	0.306467	0.0217024	0	0.3235	-nan	0.3235	0.324471	0.0729897	0	0.3515	-nan	0.3515	0.353448	0.0883552	0
6900	0.32	-nan	0.32	0.313732	0.0235029	0	0.2906	-nan	0.2906	0.29723	0.0553092	0	0.3197	-nan	0.3197	0.330743	0.0962142	0
7000	0.3206	-nan	0.3206	0.316819	0.0248371	0	0.3246	-nan	0.3246	0.322739	0.0632466	0	0.3346	-nan	0.3346	0.333887	0.0916591	0
7100	0.3345	-nan	0.3345	0.330283	0.0180126	0	0.33	-nan	0.33	0.327534	0.0672202	0	0.3469	-nan	0.3469	0.346844	0.0935672	0
7200	0.3345	-nan	0.3345	0.336445	0.0183391	0	0.3482	-nan	0.3482	0.344798	0.0692899	0	0.3494	-nan	0.3494	0.347902	0.0941562	0
7300	0.325	-nan	0.325	0.328245	0.0208376	0	0.3133	-nan	0.3133	0.309885	0.0519745	0	0.3257	-nan	0.3257	0.335194	0.0885374	0
7400	0.3207	-nan	0.3207	0.32842	0.0217006	0	0.3277	-nan	0.3277	0.320103	0.0548522	0	0.2974	-nan	0.2974	0.302947	0.0728933	0
7500	0.3205	-nan	0.3205	0.322731	0.0184387	0	0.2967	-nan	0.2967	0.299569	0.040447	0	0.3226	-nan	0.3226	0.317753	0.0812445	0
7600	0.3374	-nan	0.3374	0.33048	0.0177531	0	0.2877	-nan	0.2877	0.294957	0.0400274	0	0.3268	-nan	0.3268	0.324947	0.0792547	0
7700	0.3192	-nan	0.3192	0.317628	0.0244911	0	0.3285	-nan	0.3285	0.333497	0.0730714	0	0.3651	-nan	0.3651	0.359638	0.0871583	0
7800	0.3247	-nan	0.3247	0.32673	0.0322241	0	0.335	-nan	0.335	0.33255	0.0624926	0	0.3072	-nan	0.3072	0.30581	0.0592889	0
7900	0.3055	-nan	0.3055	0.306164	0.0380011	0	0.3243	-nan	0.3243	0.320124	0.0581695	0	0.3099	-nan	0.3099	0.315212	0.0672367	0
8000	0.3225	-nan	0.3225	0.321548	0.0268939	0	0.3285	-nan	0.3285	0.333965	0.0685663	0	0.3108	-nan	0.3108	0.31431	0.0724519	0
8100	0.2916	-nan	0.2916	0.298755	0.0336737	0	0.35	-nan	0.35	0.346697	0.0746622	0	0.3292	-nan	0.3292	0.325753	0.0837584	0
8200	0.3231	-nan	0.3231	0.321114	0.0314313	0	0.3303	-nan	0.3303	0.335354	0.061011	0	0.3432	-nan	0.3432	0.332654	0.0904431	0
8300	0.3117	-nan	0.3117	0.317592	0.0290002	0	0.3424	-nan	0.3424	0.341914	0.0661643	0	0.321	-nan	0.321	0.316075	0.0754519	0
8400	0.322	-nan	0.322	0.322615	0.0288453	0	0.3183	-nan	0.3183	0.332706	0.0641604	0	0.3361	-nan	0.3361	0.339978	0.0929536	0
8500	0.3343	-nan	0.3343	0.336807	0.0276897	0	0.3261	-nan	0.3261	0.328279	0.0637215	0	0.343	-nan	0.343	0.347879	0.0933051	0
8600	0.3305	-nan	0.3305	0.324693	0.0305705	0	0.3388	-nan	0.3388	0.340752	0.0668385	0	0.329	-nan	0.329	0.338402	0.0890379	0
8700	0.3362	-nan	0.3362	0.331657	0.0290963	0	0.3424	-nan	0.3424	0.344204	0.0730811	0	0.3113	-nan	0.3113	0.321024	0.0970813	0
8800	0.3172	-nan	0.3172	0.32751	0.0218872	0	0.3058	-nan	0.3058	0.301884	0.0662828	0	0.3201	-nan	0.3201	0.3153	0.0972802	0
8900	0.3281	-nan	0.3281	0.334844	0.0172818	0	0.3225	-nan	0.3225	0.323328	0.0732766	0	0.3506	-nan	0.3506	0.354054	0.092634	0
9000	0.3327	-nan	0.3327	0.33272	0.0264082	0	0.2875	-nan	0.2875	0.294237	0.0714172	0	0.3471	-nan	0.3471	0.34155	0.093273	0
9100	0.3218	-nan	0.3218	0.323842	0.0256532	0	0.3593	-nan	0.3593	0.35259	0.0720476	0	0.3219	-nan	0.3219	0.327846	0.102951	0
9200	0.3136	-nan	0.3136	0.326431	0.0246676	0	0.3317	-nan	0.3317	0.339401	0.0696804	0	0.343	-nan	0.343	0.341699	0.0911946	0
9300	0.3086	-nan	0.3086	0.322603	0.0281862	0	0.3235	-nan	0.3235	0.324073	0.0445643	0	0.3133	-nan	0.3133	0.316279	0.0813529	0
9400	0.3426	-nan	0.3426	0.340721	0.0261624	0	0.3125	-nan	0.3125	0.305767	0.0240898	0	0.3252	-nan	0.3252	0.332834	0.0950924	0
9500	0.3347	-nan	0.3347	0.335317	0.0202578	0	0.2944	-nan	0.2944	0.292924	0.0287627	0	0.3199	-nan	0.3199	0.333224	0.0997286	0
9600	0.3315	-nan	0.3315	0.337459	0.0176462	0	0.2908	-nan	0.2908	0.290916	0.0216443	0	0.3026	-nan	0.3026	0.298671	0.0805116	0
9700	0.329	-nan	0.329	0.332313	0.0158597	0	0.2944	-nan	0.2944	0.29699	0.0172835	0	0.3128	-nan	0.3128	0.322811	0.0916958	0
9800	0.3267	-nan	0.3267	0.333424	0.0163128	0	0.2974	-nan	0.2974	0.299102	0.0136481	0	0.3643	-nan	0.3643	0.366847	0.109264	0
9900	0.3356	-nan	0.3356	0.331326	0.0178872	0	0.2955	-nan	0.2955	0.300293	0.0200557	0	0.319	-nan	0.319	0.323077	0.112772	0
10000	0.332	-nan	0.332	0.339685	0.0170658	0	0.2875	-nan	0.2875	0.287531	0.0178108	0	0.3483	-nan	0.3483	0.341126	0.0872429	0
10100	0.3257	-nan	0.3257	0.336026	0.0166306	0	0.2803	-nan	0.2803	0.277848	0.0130144	0	0.3098	-nan	0.3098	0.311228	0.0583361	0
10200	0.338	-nan	0.338	0.331729	0.0125624	0	0.2779	-nan	0.2779	0.278536	0.0129418	0	0.3367	-nan	0.3367	0.338795	0.0825145	0
10300	0.3366	-nan	0.3366	0.33427	0.0142269	0	0.2767	-nan	0.2767	0.277015	0.0130729	0	0.3252	-nan	0.3252	0.325305	0.0848919	0
10400	0.3316	-nan	0.3316	0.338911	0.0162038	0	0.2912	-nan	0.2912	0.284092	0.013759	0	0.3005	-nan	0.3005	0.304654	0.0796785	0
10500	0.3365	-nan	0.3365	0.348168	0.0130429	0	0.2745	-nan	0.2745	0.276766	0.0146428	0	0.3008	-nan	0.3008	0.299294	0.0429907	0
10600	0.345	-nan	0.345	0.345676	0.0240145	0	0.2862	-nan	0.2862	0.281768	0.0110784	0	0.2893	-nan	0.2893	0.297475	0.018818	0
10700	0.3442	-nan	0.3442	0.336348	0.0253504	0	0.2862	-nan	0.2862	0.283078	0.013486	0	0.3252	-nan	0.3252	0.321014	0.020433	0
10800	0.3468	-nan	0.3468	0.344492	0.032546	0	0.3011	-nan	0.3011	0.300559	0.0171016	0	0.3221	-nan	0.3221	0.318732	0.024516	0
10900	0.3312	-nan	0.3312	0.326074	0.0342962	0	0.3104	-nan	0.3104	0.312075	0.0127697	0	0.3145	-nan	0.3145	0.316722	0.0124959	0
11000	0.3229	-nan	0.3229	0.325654	0.0373791	0	0.3099	-nan	0.3099	0.306785	0.026388	0	0.313	-nan	0.313	0.312987	0.0163349	0
11100	0.3237	-nan	0.3237	0.324768	0.0322573	0	0.3008	-nan	0.3008	0.303317	0.0278702	0	0.3167	-nan	0.3167	0.310796	0.0151398	0
11200	0.341	-nan	0.341	0.342693	0.0365398	0	0.2993	-nan	0.2993	0.297646	0.0327401	0	0.3055	-nan	0.3055	0.314823	0.0179849	0
11300	0.352	-nan	0.352	0.346308	0.0362008	0	0.3133	-nan	0.3133	0.312141	0.0283603	0	0.3018	-nan	0.3018	0.308419	0.0219098	0
11400	0.3472	-nan	0.3472	0.341451	0.0351984	0	0.3305	-nan	0.3305	0.328602	0.0286434	0	0.312	-nan	0.312	0.307865	0.0246935	0
11500	0.351	-nan	0.351	0.346242	0.0291593	0	0.3315	-nan	0.3315	0.332866	0.0227837	0	0.3151	-nan	0.3151	0.312844	0.0149792	0
11600	0.3313	-nan	0.3313	0.335525	0.0284285	0	0.3458	-nan	0.3458	0.347468	0.0198799	0	0.3289	-nan	0.3289	0.320853	0.0114007	0
11700	0.3452	-nan	0.3452	0.342768	0.0333857	0	0.3509	-nan	0.3509	0.350673	0.0209558	0	0.3161	-nan	0.3161	0.321787	0.0163117	0
11800	0.335	-nan	0.335	0.332017	0.0395347	0	0.3417	-nan	0.3417	0.34918	0.0252123	0	0.3311	-nan	0.3311	0.332469	0.0143222	0
11900	0.302	-nan	0.302	0.309687	0.0307661	0	0.3541	-nan	0.3541	0.345788	0.0259877	0	0.3227	-nan	0.3227	0.334747	0.0135127	0
12000	0.3084	-nan	0.3084	0.31318	0.0467398	0	0.3323	-nan	0.3323	0.33529	0.0218139	0	0.3322	-nan	0.3322	0.337939	0.0197477	0
12100	0.3141	-nan	0.3141	0.319804	0.0516566	0	0.3409	-nan	0.3409	0.3411	0.0235999	0	0.3399	-nan	0.3399	0.339487	0.0198012	0
12200	0.3196	-nan	0.3196	0.322392	0.0520651	0	0.3431	-nan	0.3431	0.337743	0.019154	0	0.3445	-nan	0.3445	0.339379	0.0194987	0
12300	0.3176	-nan	0.3176	0.323854	0.0587928	0	0.345	-nan	0.345	0.337991	0.0153701	0	0.3238	-nan	0.3238	0.327411	0.0178623	0
12400	0.3316	-nan	0.3316	0.32949	0.0479068	0	0.3465	-nan	0.3465	0.34206	0.0187933	0	0.3338	-nan	0.3338	0.333793	0.0188541	0
12500	0.3311	-nan	0.3311	0.327288	0.0386442	0	0.3364	-nan	0.3364	0.336148	0.0286308	0	0.3334	-nan	0.3334	0.335009	0.022843	0
12600	0.3462	-nan	0.3462	0.346524	0.0287418	0	0.333	-nan	0.333	0.335759	0.0281245	0	0.3243	-nan	0.3243	0.3253	0.0147686	0
12700	0.3395	-nan	0.3395	0.34317	0.0294941	0	0.3312	-nan	0.3312	0.330062	0.0249963	0	0.3359	-nan	0.3359	0.332062	0.0152868	0
12800	0.3436	-nan	0.3436	0.346128	0.0396452	0	0.3344	-nan	0.3344	0.335569	0.0237333	0	0.3373	-nan	0.3373	0.330802	0.0203329	0
12900	0.3398	-nan	0.3398	0.33594	0.0384511	0	0.3246	-nan	0.3246	0.32538	0.0276451	0	0.3251	-nan	0.3251	0.333429	0.0178892	0
13000	0.3351	-nan	0.3351	0.336676	0.0423525	0	0.3277	-nan	0.3277	0.328835	0.0271809	0	0.3324	-nan	0.3324	0.340217	0.0202498	0
13100	0.3578	-nan	0.3578	0.340958	0.0402393	0	0.3451	-nan	0.3451	0.346901	0.0145368	0	0.3513	-nan	0.3513	0.345906	0.0184917	0
13200	0.3441	-nan	0.3441	0.343229	0.0378471	0	0.3393	-nan	0.3393	0.341171	0.0186774	0	0.3274	-nan	0.3274	0.336148	0.024845	0
13300	0.3496	-nan	0.3496	0.356092	0.0371041	0	0.3466	-nan	0.3466	0.344222	0.0197416	0	0.3377	-nan	0.3377	0.337525	0.0269637	0
13400	0.3509	-nan	0.3509	0.346644	0.0392403	0	0.3448	-nan	0.3448	0.348328	0.016903	0	0.3538	-nan	0.3538	0.352257	0.012933	0
13500	0.3485	-nan	0.3485	0.351091	0.0358445	0	0.353	-nan	0.353	0.34421	0.0190391	0	0.3429	-nan	0.3429	0.349312	0.0148164	0
13600	0.3539	-nan	0.3539	0.361121	0.0284686	0	0.3565	-nan	0.3565	0.34889	0.0186638	0	0.3519	-nan	0.3519	0.356643	0.019297	0
13700	0.3614	-nan	0.3614	0.363186	0.0223767	0	0.3655	-nan	0.3655	0.362428	0.0191363	0	0.3653	-nan	0.3653	0.364608	0.0189743	0
13800	0.3624	-nan	0.3624	0.362911	0.018901	0	0.365	-nan	0.365	0.365808	0.0159701	0	0.3668	-nan	0.3668	0.367293	0.0211927	0
13900	0.3686	-nan	0.3686	0.364564	0.0261671	0	0.3601	-nan	0.3601	0.358066	0.0166483	0	0.3689	-nan	0.3689	0.369749	0.0180232	0
14000	0.3603	-nan	0.3603	0.36252	0.026303	0	0.3462	-nan	0.3462	0.34648	0.01704	0	0.3701	-nan	0.3701	0.364397	0.017133	0
14100	0.3546	-nan	0.3546	0.360339	0.0273762	0	0.3426	-nan	0.3426	0.34294	0.0165279	0	0.378	-nan	0.378	0.379437	0.019021	0
14200	0.3352	-nan	0.3352	0.346041	0.0327625	0	0.3502	-nan	0.3502	0.3437	0.0157904	0	0.3745	-nan	0.3745	0.369846	0.0141038	0
14300	0.3306	-nan	0.3306	0.329828	0.0347043	0	0.3484	-nan	0.3484	0.346377	0.0125664	0	0.3674	-nan	0.3674	0.375004	0.0155811	0
14400	0.2952	-nan	0.2952	0.303852	0.0350748	0	0.3573	-nan	0.3573	0.350542	0.0163317	0	0.3838	-nan	0.3838	0.386332	0.0224503	0
14500	0.3259	-nan	0.3259	0.325385	0.0354948	0	0.3574	-nan	0.3574	0.357898	0.0187448	0	0.3849	-nan	0.3849	0.380989	0.0248889	0
14600	0.3227	-nan	0.3227	0.32145	0.0282018	0	0.3519	-nan	0.3519	0.359468	0.0170983	0	0.3676	-nan	0.3676	0.376196	0.023169	0
14700	0.3057	-nan	0.3057	0.316507	0.0275611	0	0.3511	-nan	0.3511	0.347355	0.0236613	0	0.3697	-nan	0.3697	0.365047	0.0171929	0
14800	0.3142	-nan	0.3142	0.309795	0.0179397	0	0.3395	-nan	0.3395	0.342481	0.0211368	0	0.3587	-nan	0.3587	0.368021	0.0202652	0
