Generation;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo;Pmean;PmeanRes;PmeanUnres;MeanP0;StdevP0;MeanInfo
0;0,95;0,95;0;#NAME?;#NAME?;1;0,05;0,05;0;#NAME?;#NAME?;1;0,67;0,67;0;#NAME?;#NAME?;1
6700;0,709;0,215385;0,715502;0,71559;0,0189293;0,017;0,588;0,444444;0,589304;0,589788;0,0163181;0,011;0,6529;0,30625;0,658537;0,657999;0,0272834;0,024
6800;0,718;0,3;0,726096;0,721313;0,0204765;0,017;0,5851;0,491667;0,586235;0,589094;0,0155964;0,014;0,6472;0,346154;0,651165;0,654894;0,0269038;0,016
6900;0,7078;0,276471;0,715259;0,712929;0,015691;0,019;0,5868;0,39;0,590816;0,595016;0,0101608;0,02;0,658;0,441667;0,660628;0,661354;0,0287659;0,011
7000;0,7088;0,3;0,715025;0,70493;0,0172163;0,017;0,5881;0,370588;0,591862;0,59469;0,0136056;0,014;0,6627;0,31875;0,668293;0,666299;0,0267047;0,012
7100;0,7036;0,295238;0,71236;0,709857;0,0105109;0,02;0,5917;0,36;0,595228;0,596737;0,0146972;0,02;0,6515;0,35;0,657026;0,65684;0,0212089;0,017
7200;0,6949;0,329167;0,703893;0,703579;0,0138248;0,022;0,5965;0,425;0,599289;0,596608;0,0203368;0,019;0,6564;0,352381;0,662921;0,658137;0,0183623;0,018
7300;0,692;0,289474;0,699796;0,707502;0,0178673;0,016;0,601;0,413333;0,603858;0,603958;0,0211395;0,015;0,651;0,290909;0,655005;0,660322;0,0163349;0,016
7400;0,7027;0,294118;0,709766;0,706764;0,0144232;0,018;0,5954;0,391304;0,600205;0,604205;0,0244633;0,015;0,6498;0,327778;0,655703;0,662905;0,0146693;0,019
7500;0,6996;0,305;0,707653;0,702302;0,0216375;0,018;0,6015;0,4;0,604569;0,602924;0,026684;0,019;0,6606;0,338889;0,666497;0,665895;0,0127229;0,014
7600;0,7044;0,285;0,712959;0,715968;0,0271927;0,019;0,599;0,3875;0,600706;0,600927;0,0299009;0,01;0,6709;0,29;0,678673;0,675583;0,0121389;0,012
