Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
4200	0.51	0.478785	0.982258	0.98386	0.0159006	0.932	0.4284	0.752113	0.00277778	0.00198973	0.00410056	0.566	0.4964	0.487527	0.601282	0.595827	0.0241616	0.918
4300	0.4888	0.450915	0.984507	0.983611	0.0277522	0.929	0.4413	0.75852	0.00143198	0.0019835	0.00433042	0.58	0.4994	0.482812	0.581548	0.580777	0.0361034	0.839
4400	0.5128	0.468681	0.958889	0.966444	0.0348398	0.904	0.4347	0.755401	0.00258216	0.00413337	0.00656336	0.562	0.5203	0.504577	0.629365	0.596786	0.0461979	0.877
4500	0.5125	0.479936	0.958824	0.949446	0.0300869	0.92	0.4127	0.771429	0.00491453	0.00523136	0.00619484	0.539	0.5075	0.498497	0.565185	0.580129	0.0403122	0.87
4600	0.5146	0.478896	0.948684	0.952633	0.0314103	0.929	0.4214	0.756058	0.00738255	0.00739895	0.00899075	0.559	0.498	0.475145	0.639568	0.638003	0.0285016	0.85
4700	0.5066	0.447285	0.958621	0.956818	0.0288412	0.884	0.4418	0.745408	0.00849515	0.00696584	0.00867615	0.578	0.4954	0.481416	0.627083	0.611379	0.0246475	0.896
4800	0.5035	0.462745	0.959756	0.948605	0.0282954	0.916	0.4268	0.7471	0.00394432	0.00493789	0.00801569	0.555	0.5027	0.489738	0.595122	0.592997	0.0279945	0.871
4900	0.502	0.462866	0.958228	0.965032	0.0196561	0.916	0.4302	0.747811	0.00745921	0.0080191	0.0101927	0.568	0.5048	0.48843	0.595425	0.599247	0.0235641	0.869
5000	0.4959	0.465064	0.946875	0.954346	0.0306145	0.951	0.4443	0.747128	0.00490196	0.00554047	0.0061215	0.604	0.5092	0.491958	0.61338	0.626977	0.0358869	0.866
5100	0.4989	0.463402	0.96338	0.954283	0.0313049	0.929	0.4335	0.75394	0.00699301	0.00546979	0.00934504	0.575	0.5221	0.507547	0.603289	0.601681	0.0308319	0.839
5200	0.4964	0.471579	0.968	0.955769	0.0268711	0.958	0.4427	0.740741	0.00665025	0.00945121	0.0087195	0.585	0.5041	0.474682	0.61215	0.617358	0.033744	0.789
5300	0.4939	0.469368	0.96	0.960785	0.0314705	0.946	0.4357	0.744082	0.00455635	0.00653448	0.00544436	0.544	0.5094	0.49118	0.634646	0.624689	0.0313813	0.86
5400	0.5075	0.470978	0.9275	0.933395	0.0160796	0.922	0.4105	0.766541	0.00576923	0.00578207	0.00489344	0.51	0.4941	0.480198	0.632967	0.621648	0.0282546	0.91
5500	0.4961	0.465598	0.942187	0.943334	0.0259624	0.934	0.4286	0.74087	0.00611765	0.00684337	0.00594392	0.549	0.4933	0.473798	0.589881	0.605212	0.0368869	0.817
5600	0.5049	0.478108	0.932203	0.937608	0.0159394	0.934	0.425	0.774954	0.00919037	0.00654306	0.0114942	0.57	0.5064	0.492688	0.616216	0.613257	0.0198928	0.902
5700	0.4999	0.45913	0.96875	0.944003	0.0160029	0.919	0.4333	0.753065	0.00769231	0.00592796	0.00609148	0.554	0.5036	0.488126	0.597872	0.602423	0.0298907	0.852
5800	0.4985	0.466131	0.949254	0.946544	0.0206654	0.935	0.4342	0.757719	0.00534884	0.00552805	0.00661067	0.569	0.5071	0.485091	0.610857	0.617302	0.0267534	0.823
5900	0.5034	0.468211	0.956944	0.957634	0.0125331	0.923	0.43	0.753439	0.00646651	0.00553116	0.00803335	0.588	0.4925	0.476331	0.61453	0.624243	0.0208216	0.873
6000	0.5003	0.466845	0.958824	0.958014	0.0167221	0.93	0.4294	0.747902	0.00373832	0.00317044	0.00496046	0.571	0.5083	0.495588	0.605172	0.62169	0.0256556	0.88
6100	0.4944	0.465213	0.951667	0.957801	0.00801232	0.938	0.4198	0.768266	0.00742358	0.00504382	0.005898	0.551	0.5107	0.489869	0.619255	0.625387	0.0243404	0.847
6200	0.5067	0.454302	0.953333	0.958616	0.0112132	0.895	0.4319	0.757774	0.00691244	0.00727463	0.00872269	0.576	0.4996	0.486839	0.601802	0.61451	0.0377573	0.864
6300	0.5045	0.471245	0.960294	0.94987	0.0162599	0.941	0.4299	0.74807	0.00813953	0.00784843	0.00813532	0.576	0.4958	0.477531	0.658416	0.656879	0.0254761	0.899
6400	0.4959	0.462232	0.957353	0.953813	0.0286715	0.941	0.4184	0.741533	0.00546697	0.00696165	0.015174	0.548	0.4999	0.4894	0.648485	0.666806	0.0156196	0.927
6500	0.4816	0.45016	0.965574	0.956285	0.023719	0.937	0.418	0.751175	0.00581655	0.00609906	0.00758579	0.543	0.4959	0.473077	0.669828	0.65025	0.0230906	0.896
6600	0.5082	0.472982	0.969014	0.974188	0.0269262	0.934	0.4036	0.754802	0.00597015	0.00482452	0.0100106	0.538	0.4954	0.486455	0.649091	0.655103	0.0239258	0.928
6700	0.4719	0.444409	0.973077	0.9572	0.0300093	0.934	0.4228	0.744523	0.00322581	0.00384935	0.00671688	0.556	0.4884	0.476401	0.643056	0.65491	0.0181048	0.916
6800	0.4981	0.460259	0.971622	0.960095	0.0302347	0.919	0.4306	0.757746	0.000462963	0.00119048	0.00409981	0.558	0.4959	0.475	0.643548	0.655884	0.0211395	0.888
6900	0.5039	0.444707	0.973214	0.967505	0.0258738	0.909	0.4252	0.756708	0.00498866	0.00462528	0.00878922	0.545	0.482	0.470244	0.669492	0.674415	0.0247084	0.943
7000	0.498	0.466667	0.980328	0.964996	0.0287453	0.94	0.4122	0.780418	0.0035865	0.0038425	0.00679464	0.519	0.5016	0.493208	0.688372	0.669904	0.0112748	0.952
7100	0.492	0.45329	0.983562	0.982172	0.0217729	0.923	0.4242	0.780185	0.00630435	0.00522409	0.00882016	0.557	0.5104	0.495499	0.662921	0.673417	0.0164856	0.908
7200	0.5097	0.46181	0.971277	0.975342	0.021348	0.909	0.4354	0.759541	0.0126728	0.00988603	0.0103247	0.551	0.5055	0.488889	0.671429	0.674631	0.014822	0.906
7300	0.492	0.446776	0.978824	0.976485	0.0153361	0.895	0.438	0.764965	0.00810185	0.0078599	0.0130632	0.557	0.4965	0.486688	0.647541	0.686473	0.0173026	0.922
7400	0.5048	0.463112	0.977778	0.97928	0.0136101	0.921	0.4177	0.769573	0.00629067	0.00838813	0.0102574	0.562	0.5127	0.498587	0.675	0.691032	0.0272798	0.908
7500	0.5238	0.478218	0.979121	0.968254	0.0161599	0.911	0.4287	0.760498	0.00296804	0.00316071	0.00802792	0.567	0.4978	0.475947	0.690196	0.68869	0.0191447	0.903
7600	0.4962	0.462206	0.977273	0.976996	0.0169084	0.933	0.4215	0.759494	0.0033557	0.00382819	0.00647493	0.546	0.5038	0.488026	0.70411	0.690899	0.0363605	0.922
7700	0.4957	0.452723	0.976829	0.976559	0.0110363	0.915	0.423	0.761372	0.00269058	0.00333798	0.00485578	0.576	0.4775	0.451932	0.665	0.67642	0.0170569	0.869
7800	0.4917	0.443531	0.990909	0.977259	0.0163606	0.907	0.4268	0.775091	0.00111111	0.00177714	0.00375978	0.556	0.506	0.482763	0.670161	0.673732	0.0145073	0.88
7900	0.5107	0.479851	0.977419	0.978158	0.0146574	0.922	0.4178	0.764404	0.00263736	0.00133017	0.00336784	0.554	0.499	0.48232	0.657895	0.679176	0.024475	0.895
8000	0.5034	0.472795	0.991525	0.988028	0.0148735	0.943	0.4231	0.763587	0.00357143	0.00286194	0.00442538	0.574	0.5052	0.487895	0.696386	0.701679	0.0410812	0.932
8100	0.4997	0.463147	0.970833	0.978442	0.012444	0.921	0.4309	0.748077	0.00700935	0.00566814	0.0068848	0.554	0.5075	0.493723	0.675	0.682373	0.0208616	0.92
8200	0.486	0.462893	0.965217	0.969996	0.0220431	0.936	0.4287	0.757473	0.00684932	0.0039332	0.00566075	0.594	0.484	0.466741	0.642857	0.677806	0.0211341	0.895
8300	0.5207	0.502287	0.986842	0.967048	0.0248094	0.954	0.4249	0.760323	0.00316027	0.0025932	0.00421286	0.567	0.49	0.472856	0.689873	0.670697	0.0261279	0.934
8400	0.4998	0.471368	0.970175	0.966958	0.014475	0.948	0.4259	0.761939	0.003386	0.00428087	0.00344936	0.579	0.5133	0.502778	0.667188	0.672655	0.0192205	0.932
8500	0.4828	0.450799	0.97541	0.968915	0.0133066	0.943	0.4276	0.79013	0.00712743	0.00567591	0.00652085	0.542	0.4969	0.476667	0.679	0.688981	0.010838	0.9
8600	0.5011	0.473489	0.957895	0.952145	0.017253	0.951	0.4383	0.763462	0.00373832	0.00358265	0.00531951	0.554	0.5072	0.493864	0.68169	0.678353	0.0179882	0.933
8700	0.4985	0.455349	0.969048	0.967318	0.0201329	0.922	0.4399	0.764983	0.00187793	0.00146851	0.00421034	0.568	0.5069	0.483256	0.652143	0.675704	0.0190476	0.877
8800	0.5067	0.456637	0.978125	0.970511	0.0238294	0.907	0.4356	0.741952	0.00552885	0.00484989	0.00890711	0.545	0.486	0.474149	0.671667	0.679502	0.0172573	0.933
8900	0.5269	0.487935	0.975	0.964484	0.0208989	0.934	0.4331	0.763363	0.00413793	0.00405082	0.00606599	0.554	0.5022	0.473759	0.658442	0.666613	0.0217063	0.842
9000	0.4998	0.454176	0.961111	0.96363	0.021812	0.933	0.4139	0.766357	0.0034632	0.00374475	0.00495163	0.539	0.4835	0.458053	0.643796	0.642403	0.029403	0.862
9100	0.5171	0.479176	0.965385	0.969054	0.0183371	0.924	0.4253	0.756506	0.00205011	0.00283979	0.00459478	0.552	0.4866	0.469283	0.62963	0.634052	0.0332234	0.893
9200	0.5114	0.470261	0.971951	0.977001	0.0168412	0.936	0.4406	0.748027	0.0107914	0.0103915	0.00781788	0.594	0.505	0.490293	0.619298	0.631037	0.0404388	0.876
9300	0.514	0.475271	0.971795	0.970877	0.0202345	0.924	0.4291	0.763914	0.00812641	0.0105728	0.00722357	0.581	0.5017	0.488432	0.665333	0.643351	0.0472719	0.921
9400	0.5105	0.48633	0.979592	0.967607	0.0205064	0.949	0.4197	0.751625	0.0073991	0.00636291	0.00634923	0.58	0.5015	0.479209	0.673043	0.639318	0.0456033	0.885
9500	0.4975	0.444506	0.979798	0.976652	0.0197911	0.915	0.4188	0.760073	0.00837004	0.00878897	0.0105877	0.522	0.5131	0.491388	0.62378	0.64226	0.0485097	0.843
9600	0.5151	0.493822	0.966667	0.970669	0.0201111	0.952	0.4472	0.736694	0.00379747	0.00387114	0.00606804	0.58	0.5108	0.495673	0.6	0.608904	0.0478226	0.842
9700	0.5125	0.485079	0.983636	0.975633	0.0250615	0.943	0.4137	0.764804	0.00647948	0.00696238	0.00757204	0.552	0.5142	0.501728	0.596212	0.611047	0.0460839	0.876
9800	0.5054	0.454656	0.972449	0.97962	0.0175103	0.907	0.4313	0.741986	0.0126761	0.01164	0.00822655	0.603	0.5089	0.491608	0.603896	0.598356	0.0396108	0.844
9900	0.5124	0.464978	0.980435	0.979683	0.0215273	0.898	0.4037	0.782549	0.00938776	0.0102088	0.00969332	0.521	0.5027	0.486712	0.612598	0.614944	0.0575328	0.867
10000	0.4937	0.461497	0.956923	0.95401	0.0248872	0.95	0.4297	0.756915	0.00642202	0.00675875	0.0090235	0.559	0.5043	0.482339	0.633793	0.612049	0.0621654	0.851
10100	0.5164	0.483691	0.964706	0.964725	0.0335424	0.938	0.4397	0.735462	0.00518519	0.00535089	0.00825184	0.542	0.5024	0.469181	0.612987	0.601802	0.0498527	0.769
10200	0.4865	0.45565	0.953226	0.951132	0.0456961	0.927	0.4344	0.740206	0.00861244	0.00686046	0.00901188	0.594	0.496	0.476914	0.593293	0.604138	0.0536475	0.828
10300	0.5206	0.489007	0.990476	0.981795	0.031006	0.922	0.4147	0.767225	0.00583153	0.00545381	0.00807039	0.562	0.4865	0.4776	0.5488	0.576588	0.0496794	0.865
10400	0.5077	0.455272	0.984848	0.985839	0.0169577	0.896	0.4369	0.745455	0.00551559	0.00683125	0.00801199	0.585	0.4996	0.48905	0.589524	0.587528	0.0465514	0.906
10500	0.5005	0.451819	0.975269	0.975834	0.0257917	0.917	0.4256	0.740385	0.00490654	0.00371	0.00720291	0.567	0.5061	0.494513	0.602804	0.584895	0.0285528	0.899
10600	0.5153	0.490842	0.98	0.983937	0.0281429	0.948	0.4015	0.794246	0.00241935	0.00249423	0.00469296	0.541	0.4998	0.488202	0.579528	0.610269	0.0491671	0.873
10700	0.4836	0.445963	0.976056	0.968377	0.0359321	0.929	0.4286	0.750617	0.00692841	0.00593125	0.00942763	0.562	0.5042	0.485922	0.66	0.655012	0.0820773	0.892
10800	0.5017	0.46806	0.970149	0.952993	0.041607	0.941	0.4242	0.754659	0.00701357	0.00659964	0.0101117	0.583	0.5086	0.48514	0.616201	0.598266	0.0676029	0.805
10900	0.5064	0.475906	0.967742	0.954229	0.0403135	0.943	0.4203	0.753333	0.00494382	0.00515076	0.00782652	0.554	0.4994	0.484045	0.559314	0.557578	0.0402735	0.789
