Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
13500	0.6366	-nan	0.6366	0.637603	0.0251115	0	0.645	-nan	0.645	0.644521	0.0148006	0	0.6668	-nan	0.6668	0.673087	0.0264842	0	0.6725	-nan	0.6725	0.678098	0.0152291	0	0.6649	-nan	0.6649	0.6623	0.0592082	0	0.6868	-nan	0.6868	0.69081	0.021662	0	0.6549	-nan	0.6549	0.6617	0.0290959	0	0.6548	-nan	0.6548	0.654113	0.0342732	0	0.6881	-nan	0.6881	0.67842	0.025183	0	0.6497	-nan	0.6497	0.654706	0.123609	0
14000	0.6431	-nan	0.6431	0.637894	0.0325213	0	0.6354	-nan	0.6354	0.645711	0.015198	0	0.6631	-nan	0.6631	0.670256	0.0433292	0	0.6839	-nan	0.6839	0.687433	0.0201071	0	0.6516	-nan	0.6516	0.650339	0.0750015	0	0.6746	-nan	0.6746	0.67287	0.047301	0	0.6628	-nan	0.6628	0.66353	0.0386911	0	0.6778	-nan	0.6778	0.669927	0.0219351	0	0.6841	-nan	0.6841	0.680784	0.0223954	0	0.6422	-nan	0.6422	0.64042	0.0969193	0
14500	0.6622	-nan	0.6622	0.656888	0.0292559	0	0.6587	-nan	0.6587	0.661531	0.0194836	0	0.6899	-nan	0.6899	0.696091	0.0222162	0	0.6887	-nan	0.6887	0.687323	0.0313583	0	0.6575	-nan	0.6575	0.660544	0.0147953	0	0.6714	-nan	0.6714	0.666382	0.0432845	0	0.6599	-nan	0.6599	0.654826	0.0314738	0	0.6667	-nan	0.6667	0.667934	0.0218815	0	0.6922	-nan	0.6922	0.700825	0.0446479	0	0.6732	-nan	0.6732	0.670536	0.0962059	0
15000	0.6666	-nan	0.6666	0.665109	0.0207175	0	0.6876	-nan	0.6876	0.681997	0.011803	0	0.7014	-nan	0.7014	0.698475	0.0359567	0	0.665	-nan	0.665	0.661423	0.0344161	0	0.6669	-nan	0.6669	0.663312	0.0166515	0	0.6337	-nan	0.6337	0.633372	0.0233843	0	0.6779	-nan	0.6779	0.681199	0.0440668	0	0.6777	-nan	0.6777	0.677245	0.0168673	0	0.7091	-nan	0.7091	0.705669	0.0322768	0	0.6412	-nan	0.6412	0.64628	0.0896369	0
15500	0.6698	-nan	0.6698	0.671858	0.0188239	0	0.688	-nan	0.688	0.678658	0.0164181	0	0.6934	-nan	0.6934	0.701608	0.0226617	0	0.6713	-nan	0.6713	0.660675	0.0348035	0	0.6748	-nan	0.6748	0.666156	0.0127699	0	0.6455	-nan	0.6455	0.652388	0.0171464	0	0.6408	-nan	0.6408	0.652109	0.0457196	0	0.6559	-nan	0.6559	0.658683	0.0296996	0	0.6875	-nan	0.6875	0.686723	0.0269265	0	0.6528	-nan	0.6528	0.656111	0.12212	0
16000	0.6656	-nan	0.6656	0.661824	0.013387	0	0.6665	-nan	0.6665	0.665227	0.0146886	0	0.7016	-nan	0.7016	0.700341	0.0147696	0	0.6345	-nan	0.6345	0.633468	0.0144446	0	0.6584	-nan	0.6584	0.655841	0.0200399	0	0.6287	-nan	0.6287	0.631452	0.0271356	0	0.665	-nan	0.665	0.657171	0.0286835	0	0.652	-nan	0.652	0.66232	0.0297226	0	0.6631	-nan	0.6631	0.661237	0.0182373	0	0.705	-nan	0.705	0.704968	0.104881	0
16500	0.688	-nan	0.688	0.681771	0.0333443	0	0.6766	-nan	0.6766	0.677949	0.0360323	0	0.6693	-nan	0.6693	0.675662	0.0353763	0	0.6696	-nan	0.6696	0.663725	0.0234113	0	0.6607	-nan	0.6607	0.656301	0.0232591	0	0.6491	-nan	0.6491	0.647285	0.044958	0	0.6429	-nan	0.6429	0.644262	0.0292212	0	0.6778	-nan	0.6778	0.676938	0.0364568	0	0.6797	-nan	0.6797	0.67172	0.0194141	0	0.6578	-nan	0.6578	0.649632	0.127112	0
17000	0.7138	-nan	0.7138	0.707346	0.0285499	0	0.6952	-nan	0.6952	0.694772	0.0351164	0	0.661	-nan	0.661	0.659559	0.0240705	0	0.6569	-nan	0.6569	0.654502	0.023382	0	0.6716	-nan	0.6716	0.669426	0.0252112	0	0.6681	-nan	0.6681	0.663607	0.0320635	0	0.6542	-nan	0.6542	0.64652	0.0248349	0	0.6645	-nan	0.6645	0.662983	0.031348	0	0.6656	-nan	0.6656	0.663511	0.0283415	0	0.6588	-nan	0.6588	0.666265	0.140326	0
17500	0.7308	-nan	0.7308	0.728695	0.016552	0	0.6685	-nan	0.6685	0.671899	0.0296642	0	0.6654	-nan	0.6654	0.667856	0.0367014	0	0.659	-nan	0.659	0.663675	0.0260771	0	0.6724	-nan	0.6724	0.677419	0.0219012	0	0.6506	-nan	0.6506	0.651077	0.0231314	0	0.6423	-nan	0.6423	0.640594	0.0199222	0	0.6879	-nan	0.6879	0.688094	0.0345098	0	0.6637	-nan	0.6637	0.668648	0.012264	0	0.6463	-nan	0.6463	0.647846	0.151254	0
18000	0.7111	-nan	0.7111	0.712857	0.0198258	0	0.6967	-nan	0.6967	0.696621	0.0336851	0	0.6906	-nan	0.6906	0.685119	0.031928	0	0.6739	-nan	0.6739	0.667599	0.0352126	0	0.6573	-nan	0.6573	0.658997	0.0190652	0	0.6292	-nan	0.6292	0.631003	0.0370931	0	0.637	-nan	0.637	0.642706	0.0163261	0	0.7044	-nan	0.7044	0.697689	0.0327886	0	0.657	-nan	0.657	0.657451	0.0147073	0	0.6505	-nan	0.6505	0.651985	0.183604	0
18500	0.6994	-nan	0.6994	0.707538	0.0263146	0	0.6822	-nan	0.6822	0.688996	0.0246049	0	0.6852	-nan	0.6852	0.679244	0.0244069	0	0.6812	-nan	0.6812	0.675999	0.0242088	0	0.6864	-nan	0.6864	0.683604	0.0220294	0	0.6433	-nan	0.6433	0.642258	0.0496557	0	0.6237	-nan	0.6237	0.623756	0.016264	0	0.7265	-nan	0.7265	0.726225	0.0416908	0	0.6477	-nan	0.6477	0.643735	0.036928	0	0.636	-nan	0.636	0.623177	0.172085	0
