Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
217500	0.6579	0.302564	0.67232	0.674576	0.0224313	0.036	0.4587	0.571956	0.416598	0.452577	0.48839	0.267	0.4927	0.517327	0.486466	0.50184	0.486711	0.191	0.6259	0.418033	0.639404	0.644761	0.0264499	0.07	0.4931	0.51245	0.486684	0.516535	0.490849	0.258	0.5202	0.447664	0.539949	0.511688	0.486547	0.207	0.6476	0.316216	0.660332	0.66316	0.0330656	0.033	0.4542	0.58125	0.410484	0.423867	0.488367	0.277	0.4036	0.6163	0.341138	0.356439	0.475332	0.224	0.4577	0.557806	0.426606	0.423471	0.484831	0.234
218000	0.6272	0.365169	0.652799	0.646595	0.0175635	0.076	0.4716	0.546619	0.442281	0.442009	0.490326	0.25	0.479	0.537634	0.456311	0.458021	0.485547	0.261	0.6327	0.346914	0.657889	0.654754	0.0325203	0.073	0.4877	0.521005	0.478361	0.483856	0.488391	0.213	0.4672	0.558621	0.443915	0.448431	0.482106	0.214	0.6396	0.34717	0.655966	0.650476	0.0254587	0.049	0.4944	0.512308	0.490062	0.509859	0.486418	0.22	0.5351	0.46359	0.552422	0.548021	0.495387	0.206	0.5	0.491603	0.502981	0.502617	0.494652	0.248
218500	0.6601	0.336957	0.675681	0.672643	0.0223573	0.04	0.486	0.529537	0.468985	0.455393	0.496035	0.279	0.4788	0.529084	0.461949	0.433047	0.486153	0.222	0.6513	0.347436	0.677007	0.678526	0.0247149	0.074	0.4909	0.515789	0.48188	0.470351	0.495331	0.256	0.4731	0.537104	0.454942	0.464659	0.490754	0.215	0.6432	0.372131	0.660809	0.658894	0.0166446	0.061	0.4703	0.586842	0.428065	0.421085	0.488854	0.263	0.507	0.512376	0.505639	0.503625	0.490482	0.228	0.5148	0.481193	0.524169	0.496525	0.49614	0.202
219000	0.6368	0.321795	0.663449	0.667709	0.0329054	0.081	0.4456	0.622222	0.388904	0.402908	0.481804	0.242	0.5046	0.501124	0.505866	0.481687	0.49083	0.276	0.6641	0.3825	0.675833	0.674427	0.0159101	0.048	0.4607	0.561806	0.419803	0.391078	0.475481	0.285	0.4676	0.55969	0.43558	0.418722	0.481493	0.27	0.6565	0.325581	0.671369	0.658497	0.0135578	0.042	0.4729	0.543434	0.455486	0.497791	0.494622	0.21	0.488	0.51157	0.480475	0.477334	0.484469	0.232	0.4765	0.534328	0.461952	0.420243	0.481078	0.195
219500	0.665	0.28913	0.683124	0.692746	0.0221984	0.048	0.4617	0.556809	0.428802	0.448487	0.489621	0.233	0.5002	0.483258	0.505006	0.526063	0.4901	0.193	0.662	0.307143	0.677557	0.681846	0.0220143	0.049	0.4466	0.614426	0.37295	0.39577	0.47966	0.279	0.4997	0.512871	0.496366	0.5156	0.488599	0.206	0.6563	0.296	0.675263	0.678968	0.0319265	0.047	0.4714	0.528511	0.453856	0.478243	0.492994	0.231	0.5001	0.481897	0.505599	0.540084	0.49134	0.256	0.459	0.58	0.417584	0.416406	0.487299	0.27
220000	0.687	0.269118	0.717489	0.71158	0.0190381	0.058	0.5069	0.503429	0.507636	0.507836	0.491674	0.179	0.4657	0.520524	0.449416	0.468665	0.494639	0.215	0.6373	0.315094	0.655333	0.652717	0.018702	0.038	0.5169	0.474869	0.526823	0.527371	0.483176	0.205	0.4484	0.574797	0.407162	0.378342	0.474663	0.239	0.6687	0.275676	0.683801	0.691832	0.0181732	0.045	0.4513	0.581455	0.401931	0.40042	0.479747	0.265	0.5163	0.476923	0.527471	0.522212	0.490246	0.254	0.4655	0.549383	0.438573	0.450112	0.486092	0.25
220500	0.6678	0.357143	0.68142	0.690048	0.0263424	0.043	0.449	0.584364	0.397655	0.374606	0.464699	0.267	0.5213	0.463592	0.536272	0.545884	0.482546	0.218	0.6471	0.335294	0.663857	0.668371	0.0096477	0.051	0.4717	0.548954	0.447438	0.424153	0.474794	0.244	0.4587	0.550226	0.432734	0.4501	0.486387	0.213	0.6661	0.302381	0.682046	0.677651	0.0190965	0.046	0.461	0.58135	0.406676	0.412476	0.487497	0.308	0.4824	0.517978	0.469441	0.452505	0.495724	0.257	0.4679	0.531095	0.442957	0.441031	0.487916	0.313
221000	0.6346	0.352542	0.652285	0.648514	0.0162679	0.061	0.471	0.535088	0.452073	0.460824	0.487325	0.229	0.4983	0.491379	0.499758	0.495751	0.481567	0.182	0.6617	0.316279	0.67722	0.672969	0.0155486	0.054	0.4649	0.577739	0.420363	0.411968	0.485121	0.282	0.4787	0.53251	0.461427	0.42206	0.483469	0.257	0.6593	0.321538	0.682781	0.677842	0.0250659	0.054	0.4897	0.499448	0.487546	0.499046	0.494915	0.192	0.4554	0.569636	0.417928	0.443114	0.492889	0.238	0.5125	0.476786	0.522809	0.485453	0.494868	0.246
221500	0.638	0.365	0.655426	0.658168	0.0222796	0.066	0.4869	0.5249	0.474301	0.483973	0.487645	0.25	0.5282	0.426606	0.556522	0.554132	0.482148	0.216	0.6436	0.323333	0.675275	0.675659	0.0350897	0.082	0.5114	0.494527	0.515645	0.504598	0.492937	0.237	0.4814	0.506015	0.47248	0.482683	0.492856	0.271	0.6719	0.291489	0.690661	0.679939	0.0527487	0.05	0.4564	0.56715	0.427491	0.422703	0.48588	0.226	0.502	0.518725	0.496395	0.487509	0.494946	0.24	0.4781	0.562449	0.450728	0.450426	0.492035	0.24
222000	0.6506	0.309231	0.674332	0.67457	0.0222332	0.054	0.4716	0.538951	0.447067	0.446787	0.474301	0.257	0.4723	0.542373	0.450654	0.439981	0.482956	0.255	0.6465	0.325424	0.666631	0.668872	0.0203553	0.057	0.4595	0.573333	0.420537	0.431535	0.48336	0.26	0.4692	0.525909	0.453205	0.482146	0.489966	0.231	0.6341	0.328571	0.654642	0.663809	0.0471868	0.057	0.4635	0.560727	0.426621	0.39977	0.47859	0.27	0.4529	0.562868	0.411813	0.424062	0.488798	0.272	0.4558	0.572797	0.414479	0.409431	0.484889	0.257
222500	0.6392	0.375439	0.655143	0.650884	0.0290816	0.051	0.4771	0.533514	0.464294	0.489575	0.48951	0.175	0.4966	0.477821	0.503096	0.495466	0.488819	0.241	0.651	0.304412	0.676288	0.671419	0.0273724	0.064	0.5165	0.478723	0.528105	0.528373	0.49252	0.258	0.4208	0.641481	0.339178	0.342477	0.4672	0.269	0.6245	0.368254	0.641729	0.652885	0.0735827	0.062	0.4317	0.594531	0.375672	0.382784	0.471257	0.278	0.4835	0.51907	0.473758	0.465986	0.494281	0.204	0.4898	0.509179	0.484741	0.487417	0.487917	0.233
223000	0.6385	0.343077	0.659037	0.662036	0.0302849	0.063	0.4688	0.544643	0.446907	0.440635	0.489899	0.232	0.475	0.521778	0.461419	0.423843	0.47964	0.234	0.6755	0.331579	0.689085	0.68868	0.0394948	0.035	0.5056	0.518807	0.501918	0.500243	0.496383	0.203	0.4783	0.548936	0.456601	0.485418	0.492154	0.253	0.6044	0.389091	0.616931	0.618439	0.0628986	0.06	0.4828	0.503349	0.47737	0.464691	0.481439	0.206	0.4605	0.592742	0.416888	0.42093	0.486419	0.231	0.4485	0.580543	0.41104	0.419003	0.488246	0.242
223500	0.6313	0.357143	0.643319	0.643528	0.026489	0.045	0.4713	0.552893	0.445251	0.428261	0.486842	0.248	0.4693	0.578774	0.439848	0.432468	0.483855	0.217	0.6243	0.360465	0.636155	0.643501	0.0280039	0.058	0.4986	0.502679	0.497423	0.512831	0.49359	0.244	0.4758	0.533032	0.459564	0.469442	0.486472	0.22	0.6116	0.353226	0.628678	0.624407	0.133426	0.079	0.5024	0.506075	0.501399	0.509936	0.479509	0.2	0.4588	0.541897	0.430656	0.422955	0.487288	0.238	0.4841	0.53125	0.47049	0.437732	0.489358	0.225
224000	0.6253	0.365	0.636146	0.634201	0.0320144	0.037	0.4686	0.571956	0.430178	0.424278	0.482861	0.284	0.4948	0.534764	0.48266	0.490935	0.497003	0.225	0.6494	0.316667	0.670638	0.665192	0.0400303	0.072	0.4946	0.513675	0.488773	0.517632	0.491503	0.22	0.4453	0.586879	0.389694	0.409917	0.477311	0.28	0.6105	0.388	0.622211	0.627947	0.119226	0.064	0.4795	0.544068	0.452482	0.424257	0.483717	0.292	0.4969	0.519369	0.490488	0.487699	0.493441	0.204	0.4936	0.497872	0.492288	0.500474	0.488373	0.229
224500	0.6344	0.287037	0.654228	0.655239	0.0388071	0.056	0.4843	0.510553	0.477778	0.492495	0.491588	0.195	0.451	0.540976	0.427799	0.443254	0.492145	0.209	0.6507	0.365116	0.663532	0.659113	0.048192	0.051	0.487	0.523148	0.477041	0.460986	0.490888	0.216	0.5022	0.513333	0.498968	0.490844	0.490212	0.221	0.6477	0.333333	0.666702	0.669609	0.118155	0.067	0.4504	0.579134	0.406568	0.403747	0.484197	0.273	0.5191	0.479817	0.530051	0.511703	0.489433	0.212	0.4726	0.576378	0.437265	0.466695	0.489262	0.254
225000	0.6635	0.325532	0.680168	0.674549	0.0215479	0.039	0.5036	0.505348	0.503198	0.510845	0.488173	0.203	0.4735	0.527236	0.455968	0.462815	0.492051	0.242	0.6185	0.353125	0.636645	0.63876	0.0775843	0.051	0.5257	0.446789	0.547698	0.514249	0.489946	0.219	0.4744	0.535531	0.451444	0.464835	0.492474	0.295	0.6361	0.423684	0.644491	0.647088	0.110984	0.029	0.496	0.524779	0.487597	0.481168	0.493391	0.215	0.5127	0.500995	0.515645	0.522999	0.488577	0.181	0.4867	0.531466	0.473177	0.461118	0.490163	0.241
225500	0.6292	0.339683	0.648666	0.646646	0.0261863	0.064	0.4593	0.538559	0.434817	0.455891	0.49092	0.254	0.5329	0.494152	0.540893	0.543706	0.493068	0.199	0.6391	0.336364	0.660493	0.671051	0.084086	0.06	0.4841	0.526515	0.468886	0.478435	0.492851	0.265	0.4781	0.529279	0.463496	0.456814	0.488806	0.196	0.62	0.328205	0.631842	0.629559	0.0972335	0.044	0.4741	0.560432	0.440859	0.446844	0.485573	0.273	0.4762	0.560494	0.449141	0.474161	0.490301	0.234	0.4595	0.57283	0.418639	0.419365	0.486937	0.263
226000	0.6238	0.372549	0.637302	0.642186	0.025585	0.062	0.5099	0.482278	0.51848	0.517375	0.496478	0.233	0.4597	0.576712	0.411441	0.413875	0.483867	0.317	0.5887	0.441304	0.595807	0.588945	0.10515	0.047	0.508	0.509189	0.50773	0.509953	0.485762	0.163	0.4432	0.603019	0.385578	0.38085	0.480717	0.259	0.649	0.336842	0.661331	0.668787	0.115472	0.048	0.4815	0.536318	0.46771	0.483125	0.490077	0.198	0.4429	0.626452	0.360435	0.347152	0.471388	0.305	0.4426	0.594276	0.378521	0.366102	0.474451	0.277
226500	0.6326	0.375	0.643333	0.642852	0.0309399	0.041	0.5083	0.494915	0.511179	0.525302	0.4916	0.178	0.5261	0.487245	0.535572	0.542343	0.489895	0.189	0.6021	0.37907	0.612121	0.616885	0.09498	0.058	0.4925	0.496373	0.491574	0.508628	0.488406	0.221	0.5075	0.482326	0.514395	0.51149	0.495847	0.218	0.6212	0.381818	0.64117	0.642286	0.131167	0.07	0.4684	0.558	0.438533	0.443524	0.484298	0.248	0.5297	0.446154	0.548289	0.544688	0.489419	0.197	0.4764	0.539912	0.457642	0.426906	0.485822	0.217
227000	0.6491	0.316667	0.677223	0.668745	0.0293535	0.067	0.4743	0.535862	0.449155	0.441374	0.487964	0.313	0.4491	0.581893	0.406473	0.432662	0.487748	0.262	0.646	0.326087	0.661426	0.653615	0.0915239	0.048	0.4445	0.612868	0.381593	0.363881	0.47587	0.265	0.4571	0.582251	0.419506	0.436591	0.491452	0.249	0.6206	0.35625	0.638675	0.645471	0.127551	0.065	0.4915	0.531163	0.480637	0.469303	0.486036	0.235	0.4745	0.540179	0.455541	0.456293	0.48703	0.217	0.4402	0.585932	0.388195	0.386311	0.477595	0.249
227500	0.6582	0.321739	0.674423	0.672316	0.0119158	0.042	0.5268	0.482727	0.539231	0.487338	0.491824	0.253	0.4657	0.551673	0.434063	0.422176	0.478715	0.288	0.6021	0.381818	0.626304	0.624092	0.0714883	0.092	0.5172	0.4785	0.526875	0.494627	0.492597	0.188	0.4653	0.53908	0.439242	0.449689	0.483766	0.268	0.6322	0.382692	0.645886	0.64207	0.115575	0.052	0.5201	0.456039	0.536822	0.518357	0.495379	0.208	0.5182	0.47764	0.525983	0.522736	0.492837	0.174	0.4667	0.532057	0.449431	0.482616	0.491311	0.228
228000	0.6405	0.323684	0.653015	0.653702	0.0151344	0.033	0.4718	0.535841	0.453101	0.456824	0.477555	0.225	0.4909	0.527411	0.481943	0.441886	0.482691	0.204	0.6662	0.323404	0.683106	0.682156	0.0752897	0.049	0.4572	0.557588	0.422476	0.422354	0.489178	0.26	0.4998	0.49561	0.500881	0.48419	0.490394	0.193	0.613	0.34023	0.638992	0.629478	0.0874858	0.099	0.5321	0.454717	0.552919	0.517389	0.495135	0.209	0.4601	0.554643	0.423333	0.40239	0.474034	0.287	0.4517	0.585385	0.40473	0.405239	0.486014	0.267
228500	0.6578	0.377551	0.67224	0.66576	0.0122947	0.051	0.4842	0.536683	0.471161	0.457709	0.48165	0.197	0.4868	0.533613	0.472178	0.479372	0.489194	0.248	0.6044	0.398214	0.616631	0.620849	0.0834958	0.052	0.4715	0.539382	0.447773	0.437604	0.491237	0.247	0.5232	0.479808	0.534596	0.545764	0.488447	0.192	0.6406	0.36	0.650777	0.637924	0.0950222	0.034	0.5186	0.490045	0.526701	0.517944	0.494293	0.228	0.478	0.565398	0.442475	0.441731	0.48426	0.288	0.4586	0.555738	0.427249	0.432908	0.488034	0.278
229000	0.6418	0.378873	0.661895	0.659004	0.029585	0.07	0.4888	0.500541	0.486135	0.479969	0.493158	0.187	0.4949	0.50237	0.492902	0.48708	0.491891	0.211	0.6214	0.363889	0.631017	0.638818	0.0551977	0.042	0.4553	0.562771	0.423017	0.428015	0.481937	0.218	0.4552	0.569145	0.413269	0.42662	0.487896	0.242	0.5926	0.375385	0.607701	0.6132	0.0703177	0.063	0.4244	0.603346	0.35855	0.391522	0.475844	0.285	0.4722	0.56938	0.43841	0.452723	0.488467	0.261	0.4547	0.586429	0.403472	0.403765	0.480168	0.265
229500	0.6506	0.344444	0.662033	0.657645	0.0266727	0.043	0.4737	0.548462	0.447432	0.462159	0.489814	0.265	0.487	0.512745	0.480402	0.472431	0.486535	0.24	0.6676	0.348387	0.688699	0.684386	0.023153	0.058	0.49	0.511111	0.484788	0.48414	0.488018	0.215	0.5023	0.497487	0.503496	0.501112	0.489278	0.207	0.6073	0.377941	0.624034	0.620536	0.0183485	0.059	0.4823	0.521033	0.467901	0.446042	0.493284	0.253	0.4803	0.54556	0.45749	0.462042	0.487537	0.271	0.5024	0.495142	0.504781	0.449669	0.47726	0.226
230000	0.637	0.337037	0.654123	0.653594	0.0263043	0.055	0.4798	0.525561	0.466667	0.479005	0.494826	0.208	0.464	0.562054	0.435696	0.425219	0.491431	0.246	0.6244	0.373077	0.645662	0.642515	0.0276016	0.072	0.4432	0.601498	0.385539	0.413761	0.479257	0.269	0.4802	0.519262	0.467593	0.495392	0.492899	0.248	0.6179	0.363736	0.643344	0.632534	0.0205249	0.073	0.4923	0.526601	0.483563	0.49784	0.490982	0.198	0.4993	0.489583	0.502368	0.517846	0.491075	0.241	0.495	0.543529	0.478389	0.480486	0.491806	0.255
230500	0.5981	0.375	0.618559	0.619919	0.0210536	0.102	0.4525	0.5841	0.41117	0.437118	0.491252	0.251	0.4477	0.580657	0.397521	0.421538	0.485898	0.283	0.6193	0.385937	0.635256	0.634889	0.0419011	0.055	0.4568	0.566148	0.418977	0.464714	0.490279	0.253	0.4515	0.589167	0.408026	0.418489	0.488336	0.218	0.6288	0.305556	0.647252	0.647421	0.0139301	0.068	0.4825	0.512093	0.474395	0.479272	0.485767	0.216	0.4603	0.552423	0.433247	0.426173	0.483544	0.24	0.5194	0.487379	0.527708	0.508328	0.493033	0.201
231000	0.6282	0.367273	0.643386	0.641507	0.0159283	0.052	0.4645	0.570909	0.434487	0.451589	0.478374	0.203	0.4468	0.601333	0.380571	0.358968	0.474401	0.292	0.6474	0.329825	0.666596	0.662884	0.0230257	0.048	0.4945	0.511062	0.489664	0.49315	0.491941	0.226	0.4894	0.525532	0.478301	0.48385	0.492695	0.228	0.6316	0.388679	0.645195	0.65049	0.0171532	0.062	0.4755	0.539858	0.450348	0.461392	0.48751	0.301	0.4743	0.542667	0.462235	0.497114	0.493463	0.152	0.4551	0.586716	0.406173	0.431721	0.48628	0.294
231500	0.6179	0.370149	0.635691	0.637473	0.0271191	0.06	0.5451	0.42561	0.568541	0.561082	0.479856	0.162	0.4628	0.54083	0.431083	0.420554	0.485808	0.277	0.661	0.325641	0.67461	0.668278	0.0357588	0.034	0.4747	0.55	0.451953	0.456138	0.494621	0.22	0.4619	0.588259	0.420452	0.425077	0.486514	0.257	0.64	0.349351	0.664247	0.666535	0.0175071	0.073	0.4932	0.504813	0.490529	0.499978	0.491877	0.199	0.4414	0.604473	0.367103	0.390762	0.475176	0.31	0.4758	0.551538	0.449189	0.46473	0.494697	0.244
232000	0.5685	0.374	0.578737	0.579872	0.00756192	0.05	0.5128	0.489205	0.51784	0.509109	0.490316	0.185	0.4964	0.508867	0.493225	0.492185	0.496236	0.219	0.6534	0.333333	0.67492	0.669059	0.0198596	0.064	0.495	0.502381	0.493038	0.501058	0.490253	0.204	0.4929	0.504803	0.489364	0.45292	0.488252	0.236	0.645	0.273585	0.665787	0.671482	0.0322169	0.052	0.4858	0.514747	0.477778	0.484433	0.489922	0.217	0.5	0.468452	0.50637	0.514525	0.487745	0.18	0.4812	0.508597	0.473427	0.476122	0.496768	0.25
232500	0.5789	0.405	0.59	0.584861	0.0217793	0.06	0.485	0.548828	0.463038	0.469439	0.495169	0.242	0.4583	0.550218	0.430999	0.425598	0.48595	0.219	0.6486	0.3175	0.677391	0.683852	0.0239665	0.066	0.4693	0.556115	0.435873	0.450276	0.485837	0.252	0.4645	0.520502	0.446912	0.434096	0.478883	0.241	0.6237	0.385965	0.63807	0.626266	0.0525561	0.051	0.4556	0.586081	0.406602	0.404762	0.48481	0.266	0.4559	0.555909	0.427692	0.445495	0.477373	0.219	0.5128	0.4801	0.521026	0.511658	0.487164	0.2
233000	0.5912	0.404615	0.604171	0.604004	0.0332008	0.073	0.4807	0.541237	0.466129	0.491673	0.483594	0.203	0.4527	0.581395	0.407951	0.415943	0.484236	0.273	0.6502	0.318421	0.677489	0.6747	0.0217226	0.075	0.4676	0.568571	0.428333	0.467141	0.493897	0.273	0.5004	0.464286	0.51	0.494759	0.484365	0.229	0.6401	0.340299	0.661629	0.662567	0.0611706	0.065	0.4866	0.535081	0.470612	0.480708	0.492196	0.224	0.4569	0.544944	0.424829	0.407748	0.479212	0.271	0.4646	0.588372	0.421563	0.389255	0.481007	0.242
233500	0.6196	0.353488	0.631557	0.626305	0.0242504	0.048	0.5167	0.480447	0.524604	0.529182	0.490703	0.169	0.4722	0.55671	0.446814	0.416925	0.483754	0.232	0.6232	0.35	0.645032	0.64777	0.0325866	0.07	0.458	0.574408	0.426869	0.465814	0.493227	0.217	0.4763	0.517416	0.467397	0.486796	0.488808	0.167	0.6068	0.384	0.618526	0.614578	0.0333648	0.059	0.4689	0.562389	0.441602	0.412388	0.474007	0.228	0.475	0.553731	0.446175	0.438535	0.487293	0.26	0.4928	0.483197	0.495899	0.457541	0.494434	0.253
234000	0.6156	0.341096	0.637217	0.641008	0.0215116	0.055	0.5048	0.499095	0.506418	0.508087	0.485725	0.223	0.4692	0.551685	0.439154	0.427918	0.486988	0.269	0.6187	0.357143	0.644884	0.645647	0.029641	0.079	0.461	0.553441	0.430677	0.43946	0.486625	0.236	0.5043	0.517683	0.501675	0.508084	0.493446	0.164	0.6276	0.336765	0.64882	0.660598	0.0386885	0.067	0.5163	0.461579	0.529136	0.509023	0.488184	0.167	0.5074	0.474494	0.518194	0.491423	0.491082	0.247	0.4499	0.585714	0.3989	0.406823	0.487241	0.265
234500	0.6078	0.355556	0.630033	0.632647	0.0369459	0.066	0.4772	0.529687	0.45914	0.454181	0.488159	0.263	0.4361	0.593633	0.378718	0.391444	0.48318	0.256	0.5957	0.426154	0.607487	0.612511	0.0195325	0.064	0.4832	0.52549	0.472362	0.530854	0.486282	0.203	0.4742	0.52618	0.458409	0.423351	0.487013	0.231	0.6039	0.387179	0.612695	0.622712	0.0200399	0.045	0.4732	0.56124	0.442588	0.443443	0.489814	0.259	0.4961	0.513964	0.491003	0.485832	0.489736	0.24	0.4878	0.505366	0.48327	0.474612	0.492166	0.211
235000	0.6372	0.346774	0.656397	0.647721	0.0230675	0.05	0.5202	0.478191	0.529926	0.521718	0.486628	0.175	0.4947	0.519487	0.488696	0.517461	0.490924	0.17	0.6327	0.345455	0.649418	0.651039	0.0292321	0.056	0.4869	0.540686	0.473116	0.466963	0.490024	0.195	0.501	0.490686	0.503643	0.50809	0.491474	0.218	0.6169	0.340789	0.63961	0.639701	0.018453	0.078	0.5391	0.445455	0.559102	0.573538	0.479461	0.177	0.4818	0.551304	0.461039	0.4801	0.4947	0.235	0.4955	0.486413	0.497549	0.525079	0.48479	0.171
235500	0.6244	0.365909	0.636297	0.643453	0.00949915	0.051	0.4543	0.583721	0.418854	0.436599	0.489135	0.235	0.4389	0.598901	0.378817	0.39176	0.483096	0.293	0.6466	0.365217	0.660168	0.657922	0.0277923	0.041	0.4367	0.602768	0.369198	0.369089	0.47163	0.297	0.4874	0.512698	0.478877	0.451167	0.48507	0.249	0.6155	0.36962	0.636591	0.64253	0.0154603	0.082	0.4563	0.554468	0.426144	0.399113	0.480811	0.235	0.4711	0.52103	0.455932	0.473347	0.49226	0.216	0.4804	0.504673	0.473791	0.470673	0.486454	0.204
236000	0.6317	0.3375	0.651816	0.65027	0.0294219	0.076	0.4632	0.579583	0.426447	0.429567	0.482388	0.268	0.4802	0.521459	0.467666	0.443613	0.487229	0.243	0.6417	0.365714	0.65171	0.649337	0.0358402	0.038	0.5008	0.494643	0.502577	0.501805	0.472216	0.214	0.4995	0.503509	0.498316	0.514893	0.491227	0.235	0.6124	0.356522	0.631364	0.631822	0.0224656	0.055	0.4935	0.502823	0.490426	0.49634	0.48741	0.287	0.5003	0.499537	0.50051	0.493645	0.495531	0.202	0.5049	0.486364	0.510128	0.512463	0.469746	0.209
236500	0.6116	0.368	0.631351	0.634479	0.0298318	0.063	0.5286	0.451875	0.543214	0.521081	0.483607	0.177	0.4878	0.529185	0.475228	0.454494	0.494095	0.243	0.6059	0.375806	0.621109	0.623255	0.0465517	0.072	0.4891	0.512274	0.480221	0.48739	0.48438	0.298	0.4559	0.565873	0.41885	0.426159	0.480051	0.267	0.6393	0.32807	0.658112	0.665081	0.0278258	0.054	0.5019	0.50442	0.501343	0.500476	0.493776	0.193	0.5029	0.518056	0.498724	0.495368	0.491833	0.209	0.4943	0.512808	0.489586	0.478398	0.490388	0.201
237000	0.6361	0.371429	0.651801	0.648358	0.0509252	0.061	0.4584	0.563889	0.429337	0.432671	0.485566	0.23	0.4579	0.562109	0.422043	0.395749	0.486064	0.255	0.67	0.32	0.69234	0.689793	0.0865529	0.065	0.5578	0.444928	0.57587	0.580126	0.475884	0.139	0.4577	0.563941	0.418605	0.39643	0.483845	0.255	0.671	0.306818	0.687762	0.687243	0.0274809	0.049	0.4529	0.579352	0.411421	0.421665	0.483663	0.221	0.498	0.498942	0.497781	0.506495	0.491332	0.19	0.4846	0.51358	0.475297	0.485213	0.491098	0.228
237500	0.6429	0.32931	0.662208	0.66534	0.0520973	0.068	0.4672	0.555649	0.439422	0.444291	0.488267	0.25	0.4219	0.61448	0.367266	0.419875	0.483972	0.222	0.5926	0.398214	0.604131	0.608448	0.0490285	0.054	0.5463	0.45098	0.563518	0.555791	0.477224	0.165	0.4789	0.513061	0.467815	0.442008	0.485961	0.267	0.6375	0.361667	0.655106	0.6509	0.0295378	0.066	0.4536	0.574806	0.411456	0.42203	0.487941	0.26	0.5164	0.47551	0.526368	0.522872	0.495585	0.216	0.4582	0.572222	0.419786	0.430101	0.492182	0.258
238000	0.6247	0.396512	0.646171	0.638307	0.0232333	0.083	0.4531	0.562771	0.420156	0.430961	0.484083	0.238	0.5013	0.481301	0.507825	0.469658	0.489619	0.241	0.5964	0.383824	0.61191	0.616314	0.027129	0.055	0.5174	0.477174	0.526471	0.544903	0.468548	0.193	0.4697	0.57686	0.435488	0.428565	0.485339	0.263	0.6385	0.339506	0.664853	0.667921	0.0303384	0.066	0.4626	0.57007	0.419972	0.443325	0.487122	0.268	0.4747	0.535472	0.452789	0.435419	0.491586	0.275	0.4482	0.585034	0.391218	0.389621	0.483405	0.292
238500	0.6336	0.366667	0.652463	0.646472	0.0298067	0.075	0.5181	0.468041	0.530149	0.522958	0.490315	0.184	0.4549	0.561255	0.415364	0.412046	0.484289	0.242	0.62	0.348276	0.63673	0.628955	0.0184269	0.059	0.4898	0.507576	0.483424	0.457622	0.477938	0.243	0.4987	0.483898	0.503272	0.525949	0.492974	0.241	0.6405	0.408511	0.651941	0.64572	0.0502853	0.046	0.4975	0.512288	0.492932	0.481182	0.489635	0.23	0.509	0.486833	0.517663	0.488931	0.491653	0.255	0.4699	0.533617	0.450327	0.442321	0.489299	0.225
239000	0.6197	0.370833	0.632248	0.631398	0.0146719	0.059	0.4752	0.569767	0.442318	0.457767	0.489785	0.252	0.4644	0.605333	0.404	0.421461	0.488092	0.291	0.6366	0.318	0.653368	0.647206	0.0248983	0.042	0.5037	0.508556	0.502583	0.518869	0.482404	0.18	0.5098	0.492045	0.513592	0.536284	0.486285	0.178	0.5915	0.405714	0.605484	0.614104	0.0353241	0.053	0.5038	0.496137	0.506128	0.498426	0.495773	0.238	0.4551	0.558224	0.410057	0.393177	0.482671	0.29	0.5164	0.499492	0.520548	0.505678	0.487952	0.173
239500	0.6007	0.381081	0.609138	0.616635	0.0209297	0.035	0.477	0.554626	0.454204	0.46656	0.488793	0.24	0.4541	0.590759	0.394692	0.389292	0.479639	0.286	0.6503	0.303448	0.671656	0.682917	0.0379632	0.044	0.495	0.5125	0.489714	0.496709	0.49528	0.248	0.4851	0.528099	0.471372	0.489488	0.490105	0.237	0.6198	0.368421	0.62973	0.634673	0.0169882	0.037	0.4721	0.531818	0.448179	0.475775	0.490638	0.327	0.4723	0.552766	0.447582	0.423274	0.488164	0.249	0.531	0.467358	0.546221	0.550011	0.485111	0.182
240000	0.6415	0.318919	0.653894	0.652576	0.0239628	0.041	0.4275	0.631061	0.354484	0.340231	0.462403	0.256	0.4688	0.573423	0.438946	0.487619	0.484792	0.204	0.6482	0.328358	0.671168	0.671115	0.0289149	0.06	0.4828	0.511489	0.473987	0.468621	0.489122	0.228	0.4777	0.501345	0.470914	0.460116	0.485945	0.228	0.6277	0.377551	0.640589	0.643336	0.0233747	0.053	0.4929	0.507065	0.489706	0.489426	0.490432	0.203	0.4619	0.551376	0.436957	0.422927	0.48768	0.209	0.5311	0.458031	0.548575	0.548859	0.468572	0.179
