Generation;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo;Pmean;MeanP0;StdevP0;MeanInfo;StdevInfo
5400;0,6876;0,662758;0,0497703;0,993822;0,00678565;0,6704;0,681131;0,0343658;0,993577;0,00823091;0,637;0,660019;0,0134043;0,99031;0,0136465
5500;0,6916;0,674607;0,034725;0,994593;0,00668209;0,6587;0,677196;0,0337594;0,993161;0,00692711;0,5869;0,661581;0,0132682;0,991274;0,0102877
5600;0,66;0,672694;0,0280236;0,992651;0,00738316;0,6625;0,689221;0,03422;0,992561;0,00682159;0,6796;0,664794;0,0221976;0,990378;0,0108135
5700;0,6845;0,678352;0,0210713;0,994766;0,00825005;0,6504;0,694468;0,037233;0,991285;0,00876279;0,6677;0,668214;0,0250601;0,991328;0,0106365
5800;0,6303;0,683974;0,014461;0,989844;0,0108525;0,6667;0,707484;0,0385841;0,990546;0,00987879;0,6016;0,669075;0,0303337;0,989854;0,0105316
5900;0,6141;0,684046;0,0165235;0,991195;0,0106403;0,6266;0,729462;0,034098;0,989985;0,0095953;0,6805;0,673803;0,0308551;0,993734;0,00878665
6000;0,6392;0,678677;0,0163874;0,989739;0,0125288;0,6455;0,724275;0,0251983;0,989262;0,00978199;0,6913;0,686843;0,0268806;0,991446;0,0101941
6100;0,6336;0,670242;0,0184721;0,993983;0,00633891;0,5941;0,717817;0,0169013;0,992846;0,00794994;0,6627;0,69564;0,0145278;0,994477;0,00742374
6200;0,5834;0,661135;0,0292303;0,996169;0,00657152;0,6284;0,708111;0,0292625;0,994679;0,00642913;0,6637;0,701247;0,0153435;0,995659;0,00634581
6300;0,6296;0,634814;0,0366132;0,993867;0,00735463;0,6739;0,699489;0,0324445;0,989452;0,01096;0,6827;0,704264;0,0193633;0,993573;0,00708203
6400;0,6347;0,643873;0,0476101;0,989336;0,0106378;0,6313;0,690484;0,0306917;0,991285;0,0125924;0,6637;0,7034;0,0145503;0,992377;0,00701284
6500;0,6444;0,619516;0,02536;0,992747;0,00787667;0,6021;0,694294;0,0289358;0,988852;0,0107119;0,6923;0,697444;0,0117205;0,985564;0,0088744
6600;0,6653;0,620752;0,0304993;0,991659;0,00928432;0,6743;0,685347;0,0336084;0,989684;0,0110847;0,6361;0,69772;0,0104639;0,990143;0,0110637
6700;0,6525;0,615804;0,0283124;0,993122;0,00783479;0,6384;0,705955;0,0346644;0,984025;0,014202;0,6373;0,697665;0,0142319;0,984646;0,0111577
6800;0,6394;0,608135;0,0277652;0,990976;0,0125101;0,6243;0,674127;0,0334956;0,975973;0,0154783;0,6748;0,69404;0,0137134;0,984905;0,0109367
6900;0,6458;0,604653;0,0291819;0,987682;0,0117373;0,6377;0,667465;0,026781;0,983164;0,0157377;0,6696;0,687343;0,0146431;0,987636;0,00844451
7000;0,6805;0,610138;0,0315261;0,984221;0,0135095;0,6614;0,673165;0,0203986;0,986316;0,0167542;0,6631;0,686827;0,0151519;0,987952;0,00970833
7100;0,6404;0,610135;0,0233051;0,993706;0,0112094;0,6341;0,678448;0,0124604;0,989248;0,0179616;0,6378;0,689356;0,0161991;0,988672;0,0122018
7200;0,6568;0,612422;0,0166663;0,994797;0,00830826;0,5949;0,679599;0,0153477;0,994157;0,00995457;0,6175;0,695234;0,0245007;0,989936;0,0149853
7300;0,6222;0,616472;0,0199084;0,996826;0,00745515;0,6326;0,691459;0,0168863;0,991864;0,00877686;0,6748;0,692996;0,027667;0,990843;0,0107185
7400;0,6553;0,613109;0,0227699;0,991794;0,0118026;0,6663;0,680107;0,0169819;0,992972;0,00969513;0,6748;0,695233;0,0353832;0,996922;0,00540285
7500;0,6791;0,607166;0,0207572;0,992142;0,0123768;0,6957;0,67912;0,0180975;0,992805;0,0103536;0,7173;0,694812;0,0387496;0,993122;0,0117522
7600;0,6746;0,615039;0,0135282;0,991297;0,00962009;0,6285;0,678281;0,0244388;0,990567;0,0107998;0,6615;0,713173;0,0431263;0,993987;0,0102743
7700;0,6236;0,61262;0,0158601;0,990025;0,0101967;0,6651;0,674158;0,0311179;0,990512;0,011143;0,6536;0,725623;0,0288485;0,995998;0,00837971
7800;0,6498;0,618254;0,0182639;0,984881;0,0110044;0,6602;0,674769;0,0362072;0,993401;0,00966498;0,6385;0,738406;0,014805;0,996177;0,00747553
