Generation	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo	Pmean	MeanP0	StdevP0	MeanInfo
6900	0.545	0.691988	0.027472	0.173	0.5636	0.654698	0.0139482	0.101	0.5495	0.679866	0.0394836	0.12
7000	0.5523	0.690661	0.0293665	0.141	0.5507	0.649993	0.0148923	0.121	0.5702	0.687114	0.0341173	0.11
7100	0.5629	0.689625	0.0340142	0.129	0.5688	0.645461	0.0171443	0.103	0.5487	0.68626	0.0304989	0.149
7200	0.5445	0.689749	0.03461	0.155	0.5471	0.639461	0.0128072	0.11	0.5695	0.675093	0.0332765	0.114
7300	0.536	0.701816	0.0387759	0.155	0.5522	0.642008	0.0136988	0.095	0.5484	0.679511	0.0385958	0.136
7400	0.5816	0.702863	0.0319357	0.125	0.5411	0.639546	0.0171023	0.108	0.5635	0.663982	0.030957	0.082
7500	0.5189	0.667658	0.0233354	0.151	0.5413	0.635584	0.0143948	0.111	0.5551	0.658974	0.0200664	0.117
7600	0.5802	0.681948	0.0199164	0.123	0.5434	0.633974	0.016811	0.111	0.532	0.652137	0.011651	0.135
7700	0.5645	0.683529	0.0195943	0.125	0.5377	0.635573	0.0151867	0.136	0.5564	0.654523	0.0179998	0.14
7800	0.5734	0.686035	0.0204851	0.119	0.5697	0.634087	0.0183639	0.1	0.57	0.650979	0.0193579	0.11
7900	0.5284	0.675021	0.0262464	0.151	0.5637	0.632544	0.0230905	0.078	0.5613	0.64751	0.0175602	0.102
8000	0.5374	0.663136	0.0213295	0.133	0.5282	0.63811	0.0187132	0.129	0.5543	0.636556	0.0175961	0.107
8100	0.5193	0.66098	0.0144723	0.171	0.5559	0.637708	0.0288688	0.11	0.5572	0.629095	0.0213893	0.094
8200	0.5507	0.659347	0.0169386	0.125	0.5432	0.653438	0.0324233	0.127	0.5098	0.622576	0.0273557	0.155
8300	0.5516	0.658044	0.0220375	0.122	0.5672	0.655747	0.036809	0.087	0.5392	0.616504	0.0266602	0.119
8400	0.6012	0.659089	0.0247521	0.08	0.5648	0.657024	0.0315497	0.097	0.5478	0.629238	0.0315201	0.122
8500	0.5646	0.655103	0.0211964	0.101	0.5594	0.637108	0.0283843	0.092	0.526	0.631582	0.0292947	0.121
8600	0.5526	0.651239	0.0214591	0.112	0.5429	0.633201	0.0228184	0.113	0.5249	0.620765	0.0293141	0.129
8700	0.53	0.638399	0.0164646	0.146	0.5521	0.627825	0.0134315	0.118	0.5422	0.628507	0.0300192	0.105
8800	0.5503	0.635785	0.0219235	0.112	0.5376	0.622453	0.0146325	0.12	0.517	0.635221	0.0321043	0.131
8900	0.4871	0.62904	0.0226951	0.156	0.5105	0.621931	0.0126609	0.139	0.5224	0.62129	0.025642	0.138
9000	0.5598	0.648578	0.0257546	0.108	0.5212	0.620465	0.014384	0.118	0.5231	0.610393	0.0280582	0.132
9100	0.5339	0.64615	0.0271585	0.13	0.5396	0.61795	0.0170925	0.107	0.517	0.611823	0.0302071	0.122
9200	0.5326	0.646472	0.0254045	0.145	0.5443	0.625337	0.0116096	0.103	0.5554	0.616004	0.0260387	0.105
9300	0.5379	0.644925	0.015862	0.145	0.5359	0.62628	0.0164741	0.117	0.5324	0.620859	0.023169	0.1
9400	0.5367	0.643368	0.0135301	0.124	0.5147	0.615764	0.0203499	0.137	0.5498	0.62949	0.0248296	0.082
9500	0.5458	0.635028	0.0215567	0.131	0.5379	0.627408	0.0178788	0.114	0.5269	0.62348	0.024262	0.11
9600	0.5405	0.638985	0.0217974	0.137	0.5421	0.616195	0.0276101	0.092	0.5432	0.61982	0.0302762	0.113
9700	0.5298	0.64215	0.0232815	0.144	0.5407	0.63321	0.0284779	0.118	0.5186	0.631465	0.0373415	0.128
9800	0.5636	0.64538	0.0209689	0.092	0.5408	0.633897	0.0234591	0.139	0.5548	0.639647	0.0387495	0.101
9900	0.5672	0.639012	0.0315676	0.089	0.5243	0.63995	0.0268323	0.106	0.5404	0.648899	0.0357252	0.125
10000	0.5598	0.620592	0.0260959	0.075	0.5296	0.648457	0.0240603	0.135	0.5615	0.659821	0.0395826	0.129
10100	0.5545	0.631426	0.0346799	0.099	0.5624	0.648228	0.0261613	0.097	0.5587	0.669721	0.0466707	0.118
10200	0.5656	0.647151	0.0273297	0.112	0.5467	0.65252	0.0260335	0.123	0.5876	0.681799	0.0373063	0.104
10300	0.5274	0.643452	0.0279259	0.141	0.5537	0.648722	0.025312	0.099	0.5195	0.661635	0.0542128	0.15
10400	0.5353	0.657415	0.0243954	0.132	0.56	0.650127	0.0164585	0.102	0.5713	0.68097	0.0381838	0.106
10500	0.5462	0.662472	0.0220275	0.132	0.5557	0.651586	0.0134407	0.123	0.5581	0.670381	0.0408276	0.139
10600	0.5383	0.666736	0.0187289	0.12	0.5778	0.655857	0.0166688	0.093	0.566	0.673893	0.0272839	0.121
10700	0.5701	0.680748	0.0207428	0.117	0.5455	0.654626	0.0145376	0.143	0.5691	0.663316	0.0329929	0.109
10800	0.5375	0.683423	0.0128233	0.142	0.5579	0.65636	0.0182214	0.11	0.5729	0.682893	0.0403122	0.139
10900	0.5792	0.671979	0.0110106	0.095	0.5743	0.662043	0.0246818	0.103	0.5806	0.694465	0.0371333	0.122
11000	0.5601	0.672364	0.0151577	0.122	0.5543	0.672305	0.0195552	0.138	0.5653	0.704746	0.0355315	0.152
11100	0.5666	0.666528	0.0150715	0.099	0.5493	0.66699	0.0347755	0.143	0.5819	0.69908	0.035557	0.113
11200	0.554	0.665429	0.0203127	0.135	0.5683	0.669209	0.0325238	0.11	0.5958	0.721947	0.0251407	0.121
11300	0.5559	0.670048	0.0252871	0.127	0.5572	0.662836	0.0310048	0.144	0.5836	0.723354	0.0280688	0.127
11400	0.5205	0.65711	0.0314527	0.15	0.5378	0.657089	0.0354432	0.129	0.5859	0.734683	0.029952	0.136
11500	0.527	0.633857	0.0267974	0.147	0.5619	0.656166	0.0361087	0.1	0.5962	0.736604	0.0321418	0.114
11600	0.5116	0.615589	0.0210922	0.118	0.5567	0.682076	0.0349935	0.137	0.5558	0.733096	0.034907	0.169
11700	0.5243	0.615741	0.0218345	0.092	0.5336	0.688604	0.039738	0.162	0.5667	0.712946	0.0422088	0.139
11800	0.5432	0.616183	0.0256392	0.112	0.5852	0.680834	0.050809	0.097	0.5758	0.70392	0.0438046	0.118
11900	0.5276	0.625433	0.0218354	0.148	0.5261	0.682332	0.0527301	0.155	0.5534	0.687949	0.0350703	0.139
12000	0.5294	0.63377	0.0249462	0.134	0.5513	0.686445	0.043289	0.153	0.5348	0.681388	0.0227387	0.149
12100	0.525	0.626891	0.0279828	0.136	0.5711	0.695717	0.0286659	0.126	0.5617	0.696343	0.0507531	0.12
12200	0.535	0.658754	0.0288091	0.137	0.5601	0.682412	0.0416366	0.137	0.5687	0.709933	0.0550897	0.149
12300	0.5493	0.652434	0.0306691	0.106	0.5532	0.675676	0.0497595	0.128	0.5826	0.704308	0.0504296	0.116
12400	0.5473	0.63754	0.0295258	0.136	0.5773	0.669131	0.0529549	0.108	0.5652	0.696489	0.0457778	0.137
12500	0.5489	0.643995	0.0296712	0.109	0.5449	0.65798	0.0437827	0.138	0.5854	0.686554	0.0397639	0.105
12600	0.5756	0.658876	0.0328467	0.113	0.5394	0.655968	0.0393776	0.131	0.5575	0.696744	0.0433043	0.143
12700	0.5588	0.645656	0.0382464	0.118	0.5482	0.645381	0.0421477	0.118	0.5453	0.679946	0.0342217	0.173
12800	0.5401	0.636634	0.0298244	0.104	0.5329	0.646709	0.0377071	0.13	0.5629	0.682428	0.0413278	0.127
12900	0.5406	0.630943	0.0247726	0.125	0.5254	0.645022	0.038819	0.134	0.5399	0.686697	0.0426083	0.16
13000	0.5262	0.633635	0.0298981	0.119	0.5539	0.646249	0.0378801	0.105	0.5677	0.683834	0.0333834	0.154
13100	0.5576	0.648745	0.0273745	0.113	0.5761	0.660244	0.0372104	0.077	0.5522	0.664371	0.0131855	0.13
13200	0.5707	0.657019	0.0231943	0.102	0.561	0.657896	0.0296325	0.109	0.5565	0.66441	0.0132361	0.111
13300	0.5919	0.66551	0.0269905	0.082	0.5708	0.650629	0.0264936	0.089	0.5495	0.668129	0.0159123	0.133
13400	0.5768	0.660939	0.0282732	0.1	0.5583	0.654003	0.0269228	0.123	0.5243	0.661474	0.0214358	0.15
13500	0.5494	0.64341	0.0347828	0.109	0.5388	0.649836	0.0346134	0.136	0.5537	0.660619	0.0135402	0.137
13600	0.5487	0.656864	0.0373213	0.121	0.5631	0.666566	0.0526715	0.113	0.5666	0.672525	0.0146151	0.123
13700	0.5408	0.657894	0.0353655	0.119	0.5676	0.686076	0.0631101	0.136	0.5211	0.664897	0.0166801	0.15
13800	0.5524	0.652966	0.0449261	0.106	0.5553	0.695368	0.0633152	0.152	0.5907	0.670462	0.0181007	0.11
13900	0.5144	0.657733	0.0478064	0.151	0.5646	0.679876	0.0630948	0.144	0.5335	0.666554	0.0197611	0.143
14000	0.5612	0.664618	0.0487179	0.12	0.536	0.693828	0.0496497	0.179	0.5531	0.656786	0.0194962	0.108
14100	0.5709	0.686049	0.0283996	0.12	0.5378	0.69787	0.0224185	0.154	0.5641	0.655134	0.0197419	0.113
14200	0.5692	0.697112	0.0104346	0.134	0.5591	0.702294	0.00859303	0.133	0.5724	0.652415	0.016958	0.097
