Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
180000	0.4268	0.744591	0.00811124	0.00584849	0.00665343	0.574827	0.137873	0.4302	0.746211	0.00422634	0.00517026	0.00725908	0.576712	0.028006	0.4269	0.764431	0.00405497	0.00482839	0.00713476	0.549554	0.0212305
185000	0.4287	0.743697	0.00909515	0.00938746	0.00826332	0.563947	0.142632	0.4266	0.751147	0.00230734	0.00250069	0.00453555	0.571009	0.0301892	0.4367	0.761429	0.00466092	0.00509347	0.00583075	0.559176	0.0288353
190000	0.4227	0.752193	0.00588901	0.00480845	0.00670808	0.564801	0.16244	0.4372	0.75299	0.00661782	0.00633252	0.00700905	0.572751	0.0247994	0.4304	0.758664	0.00800366	0.00562691	0.00694706	0.564017	0.0275005
195000	0.4322	0.756249	0.012847	0.0108182	0.0108087	0.574244	0.12266	0.4262	0.752405	0.00866393	0.00807799	0.00948949	0.558681	0.0676387	0.4064	0.767134	0.00254345	0.00201868	0.00492224	0.543911	0.0175614
200000	0.4375	0.733727	0.00589681	0.00741646	0.00791088	0.59241	0.0588374	0.4203	0.754758	0.00869953	0.00608003	0.00585875	0.545905	0.0197903	0.4226	0.754254	0.00339597	0.00490413	0.00624492	0.555841	0.0219897
205000	0.4405	0.753195	0.0104513	0.011599	0.0126842	0.57166	0.0292378	0.4259	0.737796	0.00633208	0.00504965	0.00739594	0.572201	0.0286615	0.4332	0.740906	0.0033557	0.00387195	0.00599499	0.583003	0.0125244
210000	0.4167	0.775235	0.00749465	0.00650972	0.0089296	0.53108	0.0229032	0.4173	0.754089	0.0053357	0.0050209	0.00546011	0.554538	0.0571104	0.4224	0.75872	0.00582046	0.00452184	0.00864796	0.559553	0.0312069
215000	0.4322	0.763559	0.00321248	0.00565574	0.00847359	0.560432	0.0414041	0.4176	0.771073	0.00498483	0.00643085	0.00634238	0.540912	0.01848	0.4205	0.760379	0.00643301	0.00603226	0.00789389	0.549493	0.0236027
220000	0.4225	0.76008	0.00890076	0.00685775	0.00876558	0.552279	0.0194462	0.4162	0.757682	0.00963855	0.00872367	0.0113846	0.55293	0.0121814	0.4123	0.782999	0.00503673	0.00404298	0.00884638	0.523722	0.0197989
225000	0.4177	0.765009	0.00503282	0.00468156	0.00716498	0.546413	0.0342765	0.4199	0.751355	0.00918047	0.00812043	0.00929503	0.555699	0.0194496	0.4206	0.758244	0.00975393	0.00974072	0.0118296	0.55628	0.0531968
230000	0.4131	0.782318	0.00713836	0.00687864	0.00745397	0.524975	0.0280303	0.4226	0.751788	0.00499093	0.00499194	0.00684324	0.561702	0.016186	0.4198	0.760124	0.00686144	0.00529209	0.00868597	0.551618	0.092348
235000	0.4237	0.764461	0.00468227	0.00412808	0.00697916	0.557074	0.021304	0.4488	0.743406	0.00872818	0.00946595	0.0103495	0.584747	0.0166461	0.4301	0.761879	0.0081781	0.00732136	0.00755811	0.560548	0.164595
240000	0.4399	0.741455	0.00415648	0.00527477	0.00781819	0.584652	0.023858	0.4278	0.714262	0.00273224	0.00468645	0.00678464	0.603509	0.0226282	0.4258	0.766661	0.00801246	0.00796254	0.00971584	0.557429	0.0212889
245000	0.439	0.736408	0.00369549	0.00503126	0.00646112	0.593492	0.0225952	0.417	0.756747	0.0044287	0.00467454	0.0081278	0.554691	0.023747	0.4349	0.770603	0.00659991	0.0079658	0.00785429	0.558678	0.0191812
250000	0.427	0.748807	0.00782869	0.00584097	0.0111035	0.569533	0.0264828	0.4332	0.747379	0.0126286	0.0105432	0.0102573	0.56942	0.050666	0.4272	0.752785	0.00345224	0.00472253	0.00593848	0.570793	0.0182827
255000	0.42	0.737586	0.0059894	0.00653069	0.00931578	0.575109	0.0193299	0.4411	0.743376	0.00826848	0.00843685	0.0138189	0.591307	0.0306064	0.4319	0.756738	0.00532038	0.0058785	0.00697318	0.572573	0.0573354
260000	0.415	0.777129	0.00532822	0.00428375	0.00645642	0.527257	0.0170902	0.4273	0.781152	0.0063499	0.0060276	0.00590064	0.541371	0.0297884	0.4221	0.746125	0.00752222	0.00489653	0.00668466	0.565096	0.023905
265000	0.4317	0.750087	0.00375059	0.00502808	0.00679652	0.562864	0.0257624	0.4332	0.760638	0.00963303	0.00879514	0.0081178	0.573566	0.0229609	0.4189	0.76352	0.00528053	0.00579912	0.00744848	0.546594	0.020654
270000	0.4443	0.750595	0.00607681	0.0076202	0.00847638	0.584675	0.0171729	0.4279	0.765363	0.0071894	0.00616357	0.00860615	0.565966	0.0220712	0.4384	0.740231	0.00656296	0.00652638	0.00644549	0.590903	0.0234485
275000	0.4284	0.751771	0.00873162	0.00757512	0.00895196	0.569316	0.0154447	0.4335	0.781986	0.00446229	0.00485416	0.00914403	0.549057	0.0366311	0.4141	0.77468	0.00618073	0.00701852	0.00939404	0.534864	0.0220115
280000	0.4134	0.795472	0.00475993	0.00504983	0.00617852	0.508192	0.0282436	0.4352	0.750608	0.00707214	0.00983699	0.0117417	0.574958	0.0429689	0.4256	0.748045	0.0105215	0.0106899	0.0130133	0.561404	0.0214291
285000	0.4265	0.758122	0.00409277	0.00499569	0.00848876	0.563809	0.0376172	0.4217	0.759927	0.00997783	0.00857457	0.00918914	0.557745	0.0383926	0.439	0.760328	0.00656814	0.00616831	0.00736647	0.570936	0.0183844
