Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	StdevInfo
7400	0.7068	-nan	0.7068	0.709562	0.0183715	0	0	0.6552	-nan	0.6552	0.652815	0.0384191	0	0	0.6389	-nan	0.6389	0.631158	0.0273736	0	0
7500	0.7113	-nan	0.7113	0.710285	0.0187235	0	0	0.6432	-nan	0.6432	0.646232	0.0325483	0	0	0.6176	-nan	0.6176	0.621269	0.025079	0	0
7600	0.7114	-nan	0.7114	0.713155	0.0202382	0	0	0.6387	-nan	0.6387	0.638038	0.0312444	0	0	0.6206	-nan	0.6206	0.621542	0.0207175	0	0
7700	0.721	-nan	0.721	0.715194	0.0175079	0	0	0.647	-nan	0.647	0.645379	0.0295089	0	0	0.6042	-nan	0.6042	0.613037	0.0188078	0	0
7800	0.708	-nan	0.708	0.710315	0.0155066	0	0	0.65	-nan	0.65	0.658581	0.0238715	0	0	0.6139	-nan	0.6139	0.614887	0.0145768	0	0
7900	0.7061	-nan	0.7061	0.704769	0.0140221	0	0	0.6472	-nan	0.6472	0.652724	0.0259282	0	0	0.62	-nan	0.62	0.623579	0.0145739	0	0
8000	0.7015	-nan	0.7015	0.708337	0.0144197	0	0	0.6566	-nan	0.6566	0.65604	0.0216399	0	0	0.6276	-nan	0.6276	0.628741	0.0143504	0	0
8100	0.7086	-nan	0.7086	0.710843	0.0149843	0	0	0.6496	-nan	0.6496	0.653815	0.014319	0	0	0.6255	-nan	0.6255	0.626719	0.0155086	0	0
8200	0.7077	-nan	0.7077	0.711581	0.0167319	0	0	0.6562	-nan	0.6562	0.656027	0.0161402	0	0	0.6167	-nan	0.6167	0.617601	0.0147591	0	0
8300	0.7051	-nan	0.7051	0.707616	0.0154999	0	0	0.6474	-nan	0.6474	0.650329	0.0192582	0	0	0.6142	-nan	0.6142	0.615355	0.0148905	0	0
8400	0.6998	-nan	0.6998	0.706776	0.014624	0	0	0.6547	-nan	0.6547	0.648392	0.0178613	0	0	0.6157	-nan	0.6157	0.61946	0.0171278	0	0
8500	0.7081	-nan	0.7081	0.701352	0.0153531	0	0	0.6453	-nan	0.6453	0.647317	0.0188329	0	0	0.6294	-nan	0.6294	0.622211	0.0167426	0	0
8600	0.7085	-nan	0.7085	0.706216	0.016698	0	0	0.648	-nan	0.648	0.652865	0.0177158	0	0	0.617	-nan	0.617	0.617104	0.0131583	0	0
8700	0.6985	-nan	0.6985	0.70193	0.0147618	0	0	0.6535	-nan	0.6535	0.645618	0.0177202	0	0	0.6171	-nan	0.6171	0.621077	0.0144201	0	0
8800	0.713	-nan	0.713	0.706595	0.0218794	0	0	0.6382	-nan	0.6382	0.640531	0.0197593	0	0	0.6172	-nan	0.6172	0.617201	0.0165304	0	0
8900	0.705	-nan	0.705	0.703924	0.0262151	0	0	0.6469	-nan	0.6469	0.649339	0.0228953	0	0	0.6228	-nan	0.6228	0.627929	0.0338712	0	0
9000	0.6857	-nan	0.6857	0.689767	0.0228777	0	0	0.6595	-nan	0.6595	0.65912	0.0260112	0	0	0.6333	-nan	0.6333	0.636932	0.0428453	0	0
9100	0.6913	-nan	0.6913	0.683524	0.0231195	0	0	0.6622	-nan	0.6622	0.661542	0.0295017	0	0	0.668	-nan	0.668	0.661255	0.0261539	0	0
9200	0.6881	-nan	0.6881	0.694591	0.0266923	0	0	0.6664	-nan	0.6664	0.658321	0.0411199	0	0	0.6517	-nan	0.6517	0.647773	0.0277984	0	0
9300	0.6782	-nan	0.6782	0.679295	0.0253525	0	0	0.659	-nan	0.659	0.663401	0.0327204	0	0	0.6583	-nan	0.6583	0.665687	0.0266183	0	0
9400	0.6832	-nan	0.6832	0.683273	0.0354456	0	0	0.6675	-nan	0.6675	0.668045	0.0392944	0	0	0.6585	-nan	0.6585	0.664066	0.0385547	0	0
9500	0.6959	-nan	0.6959	0.694864	0.0364148	0	0	0.6737	-nan	0.6737	0.671939	0.0361431	0	0	0.68	-nan	0.68	0.672755	0.03466	0	0
9600	0.6827	-nan	0.6827	0.685038	0.0431868	0	0	0.6691	-nan	0.6691	0.669117	0.0287741	0	0	0.6795	-nan	0.6795	0.679076	0.014866	0	0
9700	0.7119	-nan	0.7119	0.714529	0.0472853	0	0	0.6661	-nan	0.6661	0.66636	0.0253927	0	0	0.6788	-nan	0.6788	0.677126	0.0156219	0	0
9800	0.7104	-nan	0.7104	0.708014	0.0548398	0	0	0.665	-nan	0.665	0.662118	0.0289581	0	0	0.6801	-nan	0.6801	0.681103	0.0161316	0	0
9900	0.7074	-nan	0.7074	0.712372	0.0590299	0	0	0.6527	-nan	0.6527	0.660669	0.0342902	0	0	0.6777	-nan	0.6777	0.683881	0.0200302	0	0
10000	0.6936	-nan	0.6936	0.68834	0.0653673	0	0	0.6573	-nan	0.6573	0.663584	0.0343297	0	0	0.6949	-nan	0.6949	0.688359	0.0193005	0	0
10100	0.6775	-nan	0.6775	0.674289	0.0630748	0	0	0.6613	-nan	0.6613	0.659381	0.0345094	0	0	0.6877	-nan	0.6877	0.687332	0.0249844	0	0
10200	0.6605	-nan	0.6605	0.669962	0.0604562	0	0	0.6695	-nan	0.6695	0.681045	0.0253872	0	0	0.6788	-nan	0.6788	0.67727	0.0228491	0	0
10300	0.6769	-nan	0.6769	0.681103	0.0566898	0	0	0.6743	-nan	0.6743	0.676228	0.0299859	0	0	0.6826	-nan	0.6826	0.677198	0.0242375	0	0
10400	0.6756	-nan	0.6756	0.67784	0.0518832	0	0	0.692	-nan	0.692	0.687523	0.0182617	0	0	0.6705	-nan	0.6705	0.674829	0.0190545	0	0
10500	0.6374	-nan	0.6374	0.645107	0.0526372	0	0	0.6836	-nan	0.6836	0.689303	0.014399	0	0	0.6799	-nan	0.6799	0.679867	0.0201342	0	0
